,Suburb,Predicted Value in 3 Years,Growth Rate
132,Morwell,435.8406217326532,0.10847501617673205
137,Shepparton,501.3899008934431,0.0968081321393075
131,Moe-Newborough,415.1696876040308,0.09066628000416399
135,Sale-Maffra,502.48583752564673,0.07899958622930092
106,Hastings-Flinders,616.9328694931671,0.07256256526649807
125,Benalla,484.9209524921275,0.07075789347695438
118,Sebastopol-Delacombe,478.1575537018677,0.07029165179552477
142,Warragul,534.0601698146719,0.06670870121687233
134,Portland,461.098615656026,0.0666044892117108
113,Lara,585.8125999161572,0.06497396271726275
