Address,Prices,Bedroom,Bathroom,Parking,Type_Apartment,Type_House,Type_Townhouse
"39 Durham Crescent, 
HOPPERS CROSSING VIC 3029",450.0,3,2,2,0,1,0
"7/1 Mabel Street, 
IVANHOE VIC 3079",450.0,2,1,1,0,0,1
"2/59 Green Street, 
IVANHOE VIC 3079",450.0,2,1,1,1,0,0
"104/15 Ivanhoe Parade, 
IVANHOE VIC 3079",450.0,1,1,1,1,0,0
"4/64 Lorraine Crescent, 
JACANA VIC 3047",450.0,2,1,1,0,0,1
"1/552 Buckley Street, 
KEILOR EAST VIC 3033",450.0,2,1,1,0,0,1
"63 Dunne Street, 
KINGSBURY VIC 3083",450.0,3,1,1,0,1,0
"24 Bluewren Street, 
KURUNJANG VIC 3337",450.0,4,2,2,0,1,0
"29 Tandarra Crescent, 
LALOR VIC 3075",450.0,3,1,1,0,1,0
"12 Julie Court, 
LANGWARRIN VIC 3910",450.0,2,1,1,1,0,0
"36 Station Lake Road, 
LARA VIC 3212",450.0,3,1, ,0,1,0
"8/18 Johnstone Street, 
MALVERN VIC 3144",450.0,2,1,1,1,0,0
"302/2 Clarence Street, 
MALVERN EAST VIC 3145",450.0,1,1,1,1,0,0
"1/15 Camira Street, 
MALVERN EAST VIC 3145",450.0,2,1, ,1,0,0
"7 Julep street, 
MANOR LAKES VIC 3024",450.0,4,2,2,0,1,0
"22 Campbell Street, 
FRANKSTON VIC 3199",2100.0,3,1,1,0,1,0
"54 Dixon Street, 
MALVERN VIC 3144",2.0,4,2,3,0,1,0
"8A Campbell Street, 
BRIGHTON VIC 3186",2.0,4,2,3,0,0,1
"1584 Boneo Road, 
FLINDERS VIC 3929",2150.0,5,4,4,0,1,0
"436 New Street, 
BRIGHTON VIC 3186",2.0,4,2,3,0,1,0
"10 St Ninians Road, 
BRIGHTON VIC 3186",2.0,4,3,4,0,1,0
"30 Letchworth Avenue, 
BRIGHTON EAST VIC 3187",2.0,5,3,2,0,1,0
"92 Balaclava Road, 
CAULFIELD NORTH VIC 3161",2200.0,4,2,3,0,1,0
"3002/50 Lorimer Street, 
DOCKLANDS VIC 3008",2.0,3,3,2,1,0,0
"301/98 Leicester Street, 
FITZROY VIC 3065",2.0,4,3,2,1,0,0
"3002/50 Lorimer Street, 
MELBOURNE VIC 3000",2.0,3,3,2,1,0,0
"84 Toorak Road West, 
SOUTH YARRA VIC 3141",2200.0,3,3,3,0,1,0
"9 Fifth Street, 
BLACK ROCK VIC 3193",2.0,3,3,2,0,0,1
"Drummond street, 
CARLTON VIC 3053",2.0,10,3,2,0,1,0
"38A Grey Street, 
ST KILDA VIC 3182",2.0,4,4,2,0,1,0
"2A Normanby Street, 
BRIGHTON VIC 3186",2.0,4,2,2,0,0,1
"36 Mitford Street, 
ELWOOD VIC 3184",2.0,4,2, ,0,1,0
"3007/35 Spring Street, 
MELBOURNE VIC 3000",2300.0,3,2,2,1,0,0
"4/28 Goldsmith Street, 
ELWOOD VIC 3184",2.0,3,2,4,0,0,1
"4301/63 La Trobe Street, 
MELBOURNE VIC 3000",2350.0,4,3,2,1,0,0
"13 Longbow Terrace, 
CRANBOURNE NORTH VIC 3977",620.0,4,2,2,0,1,0
"6 Bridport Street, 
CRANBOURNE WEST VIC 3977",620.0,4,2,2,0,1,0
"14 Godfrey Crescent, 
DANDENONG VIC 3175",620.0,4,1,2,0,1,0
"603/628 Flinders Street, 
DOCKLANDS VIC 3008",650.0,2,2, ,1,0,0
"3515/628 Flinders Street, 
DOCKLANDS VIC 3008",650.0,2,1, ,1,0,0
"405/1 Point Park Crescent, 
DOCKLANDS VIC 3008",620.0,1,1,1,1,0,0
"4006/628 Flinders Street, 
DOCKLANDS VIC 3008",620.0,1,1, ,1,0,0
"2901/231 Harbour Esplanade, 
DOCKLANDS VIC 3008",620.0,2,1,1,1,0,0
"218/60 Siddeley Street, 
DOCKLANDS VIC 3008",620.0,2,2, ,1,0,0
"2309A/100 Harbour Esplanade, 
DOCKLANDS VIC 3008",620.0,1,1,1,1,0,0
"1316/628 Flinders Street, 
DOCKLANDS VIC 3008",620.0,2,1, ,1,0,0
"42 Resort Boulevard, 
DOREEN VIC 3754",620.0,4,2,2,0,1,0
"2/114 Maltravers Road, 
EAGLEMONT VIC 3084",620.0,3,2,1,0,0,1
"54 Anderson Street, 
EAST GEELONG VIC 3219",620.0,5,2,1,0,1,0
"6/198 Sherbourne Road, 
ELTHAM VIC 3095",620.0,3,2,2,0,0,1
"1/166 Ogilvie Street, 
ESSENDON VIC 3040",620.0,3,1,2,1,0,0
"37 Reid Street, 
FITZROY NORTH VIC 3068",620.0,2,1, ,0,1,0
"9 Queen Street, 
FITZROY NORTH VIC 3068",620.0,3,1, ,0,1,0
"1702/6 Joseph road, 
FOOTSCRAY VIC 3011",620.0,2,2,2,1,0,0
"2/24 Panorama Street, 
CLAYTON VIC 3168",690.0,4,2,2,1,0,0
"80 Hartliegh Street, 
CLYDE VIC 3978",690.0,5,2,2,0,1,0
"97 Oceania Drive, 
CURLEWIS VIC 3222",690.0,4,2,2,0,1,0
"2606N/889 Collins Street, 
DOCKLANDS VIC 3008",690.0,2,1,1,1,0,0
"301/231 Harbour Esplanade, 
DOCKLANDS VIC 3008",690.0,2,1,1,1,0,0
"2/41 Dickens Street, 
ELWOOD VIC 3184",690.0,2,1, ,1,0,0
"4/110 Bradshaw Street, 
ESSENDON VIC 3040",690.0,3,1,1,0,1,0
"3/15 Morton Street, 
ESSENDON VIC 3040",690.0,2,2,1,0,0,1
"1 Freeman Street, 
FITZROY NORTH VIC 3068",690.0,2,1, ,0,1,0
"128 Clauscen Street, 
FITZROY NORTH VIC 3068",690.0,2,1,1,0,1,0
"19 Weighbridge Lane, 
FLEMINGTON VIC 3031",690.0,3,1,2,0,1,0
"2/24 Bayview Road, 
FRANKSTON VIC 3199",690.0,3,2,3,0,0,1
"999 Heidelberg Road, 
IVANHOE VIC 3079",690.0,3,1,3,0,1,0
"19 Weighbridge Lane, 
KENSINGTON VIC 3031",690.0,3,1,2,0,1,0
"112/555 St Kilda Road, 
MELBOURNE VIC 3004",690.0,2,2,1,1,0,0
"2304/60 Abeckett Street, 
MELBOURNE VIC 3000",690.0,2,1, ,1,0,0
"305B/11 Rose Lane, 
MELBOURNE VIC 3000",690.0,2,1, ,1,0,0
"2109/120 A'Beckett St, 
MELBOURNE VIC 3000",690.0,2,2, ,1,0,0
"1502/483 Swanston Street, 
MELBOURNE VIC 3000",690.0,2,1, ,1,0,0
"2610/80 A'Beckett Street, 
MELBOURNE VIC 3000",690.0,2,2, ,1,0,0
"37 Albion Street, 
BRUNSWICK EAST VIC 3057",700.0,3,2,2,0,0,1
"20 Melville Road, 
BRUNSWICK WEST VIC 3055",700.0,3,1,1,0,1,0
"2/218 Union Street, 
BRUNSWICK WEST VIC 3055",695.0,2,2,1,0,0,1
"16 Roycroft Avenue, 
BURNSIDE VIC 3023",700.0,6,3,2,0,1,0
"1/56 Station Street, 
BURWOOD VIC 3125",700.0,4,3,4,0,0,1
"9/13-29 University Street, 
CARLTON VIC 3053",700.0,2,1,1,1,0,0
"1204/139-145 Queensberry Street, 
CARLTON VIC 3053",700.0,2,2,1,1,0,0
"279 Drummond Street, 
CARLTON VIC 3053",700.0,3,1, ,0,1,0
"1709/28-44 Bouverie Street, 
CARLTON VIC 3053",700.0,2,2, ,1,0,0
"381 Nicholson Street, 
CARLTON NORTH VIC 3054",700.0,3,1, ,0,1,0
"1/6 Carnarvon Road, 
CAULFIELD NORTH VIC 3161",695.0,3,2,1,0,0,1
"1/8 Kelly Street, 
CHADSTONE VIC 3148",750.0,3,2,1,0,0,1
"29 Heather Grove, 
CHELTENHAM VIC 3192",700.0,4,1,2,0,1,0
"29 Browns Road, 
CLAYTON VIC 3168",700.0,3,3,2,0,0,1
"G05/2-8 Murray Street, 
CLAYTON VIC 3168",700.0,3,2,1,1,0,0
"12A McBean Street, 
CLAYTON VIC 3168",700.0,3,2,2,0,0,1
"56B Bevan Avenue, 
CLAYTON SOUTH VIC 3169",695.0,3,2,2,0,0,1
"203/139 Noone Street, 
CLIFTON HILL VIC 3068",700.0,2,2,1,1,0,0
"14 Inclusion Road, 
CLYDE NORTH VIC 3978",700.0,5,2,2,0,1,0
"15 Moorside Cres, 
CLYDE NORTH VIC 3978",700.0,4,2,2,0,1,0
"1/162 Gillies Street, 
FAIRFIELD VIC 3078",330.0,1,1,1,1,0,0
GLENROY VIC 3046,330.0,2,1,1,1,0,0
"4/23 Cavendish Drive, 
HEATHERTON VIC 3202",330.0,2,1,1,1,0,0
"1/6 Bruce Street, 
LAVERTON VIC 3028",330.0,1,1,1,1,0,0
"1/3A Kinloch Road, 
MELTON VIC 3337",330.0,2,1,1,0,1,0
"6 Exford Road, 
MELTON SOUTH VIC 3338",330.0,3,1,2,0,1,0
