,Suburb,Price_bed,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Median weekly household rental payment ($),Median equivalised total household income (weekly) ($),num_landmarks,distance to CBD,num_schools,total_transport,Incidents Recorded,Offence Count,total_crime,qualifying_income,RAI,affordability,amenities,crime_rate,crime_score,schools_score,healthcare_score,transport_score,liveability_score,liveability_rank,affordability_rank
21,CAULFIELD,263.0,40971.0,7386.8,76.8,25978.0,627.0,536.0,223.0,109.0,173.0,19.0,909.0,2941.0,0,18.7,25,7,487.0,692.0,1179.0,876.6666666666667,335.4752851711026,1,80.57948316366485,0.028776451636523395,1.1260714869430875,67.56756756756756,100.0,63.63636363636363,59.34738240320993,1.0,30.0
101,SOUTH YARRA,375.0,28123.0,21662.2,106.5,22280.0,497.0,622.0,236.0,87.0,356.0,6.0,1278.0,5129.0,1,9.65,28,6,4308.0,5891.0,10199.0,1250.0,410.32,1,100.0,0.3626569000462255,38.07715763753073,75.67567567567568,79.09967845659163,54.54545454545454,49.77730475859412,2.0,19.0
46,FITZROY,429.17,23564.0,12870.899999999998,71.4,17755.0,468.0,158.0,120.0,55.0,320.0,3.0,932.0,3306.0,7,4.13,37,10,3648.0,4388.543,8036.543,1430.5666666666668,231.0972341962392,1,49.4909945184025,0.3410517314547615,35.68607888546937,100.0,74.43729903536978,90.9090909090909,46.52050689712542,3.0,50.0
13,BRUNSWICK,275.0,53768.0,20807.5,136.6,42314.0,431.0,183.0,197.0,120.0,360.0,16.0,1667.0,5812.0,0,2.69,29,6,4271.0,5270.0,9541.0,916.6666666666667,634.0363636363636,1,66.17071260767423,0.17744755244755245,17.57974129701214,78.37837837837837,68.48874598070739,54.54545454545454,44.59242077073575,4.0,8.0
10,BRIGHTON,311.25,39748.0,5788.0,92.0,23818.0,588.0,514.0,206.0,116.0,186.0,6.0,1202.0,3406.0,0,16.93,23,1,1868.0,2430.0,4298.0,1037.5,328.28915662650604,1,78.07361002349256,0.10813122672838885,9.908392059610735,62.16216216216216,93.72990353697749,9.090909090909092,43.821683232763995,5.0,32.0
73,MALVERN,315.0,22221.0,2936.7,38.2,14931.0,320.0,184.0,122.0,54.0,103.0,0.0,421.0,1556.0,0,16.98,27,8,993.0,1336.0,2329.0,1050.0,148.19047619047618,2,33.82928739232576,0.10481076459205256,9.540911175228524,72.97297297297297,50.64308681672026,72.72727272727273,38.04346326037021,6.0,98.0
1,ALBERT PARK,350.0,16023.0,3427.5999999999995,41.5,10934.0,346.0,558.0,228.0,92.0,181.0,8.0,493.0,1727.0,0,13.87,0,5,785.0,911.0,1696.0,1166.6666666666667,148.0285714285714,2,81.12764291307752,0.10584784372464583,9.655686390596651,0.0,54.82315112540193,45.45454545454545,37.923528446609694,7.0,99.0
4,ARMADALE,312.5,9436.0,4321.5,38.0,6445.0,208.0,134.0,61.0,29.0,81.0,3.0,421.0,1696.0,0,14.09,34,11,849.0,1066.0,1915.0,1041.6666666666667,162.81599999999997,1,21.69146436961629,0.20294616362865622,20.401713601653157,91.8918918918919,32.636655948553056,100.0,36.03895807089059,8.0,85.0
51,GLEN WAVERLEY,205.0,43223.0,5167.6,81.2,27582.0,498.0,237.0,202.0,72.0,305.0,6.0,962.0,2125.0,0,31.51,18,0,3255.0,4350.0,7605.0,683.3333333333334,310.9756097560975,1,61.942051683633515,0.1759479906531245,17.413782381723866,48.64864864864865,79.2604501607717,0.0,31.849022222496618,9.0,33.0
105,ST KILDA,372.5,30189.0,12631.5,72.80000000000001,23753.0,263.0,253.0,183.0,83.0,261.0,10.0,776.0,3023.0,0,13.29,25,8,6242.0,8572.0,14814.0,1241.6666666666667,243.46308724832215,1,59.43617854346124,0.49070853622180266,52.24883813749606,67.56756756756756,41.47909967845659,72.72727272727273,31.394866339393918,10.0,43.0
