STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry
19970,Royal Park Railway Station (Parkville),-37.781193,144.952301,1,Upfield,POINT (144.95230710206772 -37.781179806470384)
19971,Flemington Bridge Railway Station (North Melbourne),-37.78814,144.939323,1,Upfield,POINT (144.93932910356588 -37.78812681562748)
19972,Macaulay Railway Station (North Melbourne),-37.794267,144.936166,1,Upfield,POINT (144.9361719034498 -37.79425383545)
19973,North Melbourne Railway Station (West Melbourne),-37.807419,144.94257,1,"Flemington,Sunbury,Upfield,Werribee,Williamstown,Craigieburn",POINT (144.9425759409124 -37.80740580596864)
19974,Clifton Hill Railway Station (Clifton Hill),-37.788657,144.995417,1,"Mernda,Hurstbridge",POINT (144.99542285377925 -37.78864386946561)
19975,Victoria Park Railway Station (Abbotsford),-37.799158,144.994451,1,"Mernda,Hurstbridge",POINT (144.9944569728049 -37.79914479946462)
19976,Collingwood Railway Station (Abbotsford),-37.804526,144.99375,1,"Mernda,Hurstbridge",POINT (144.99375605234263 -37.80451284944992)
19977,North Richmond Railway Station (Richmond),-37.810398,144.9925,1,"Mernda,Hurstbridge",POINT (144.9925057719209 -37.81038480940071)
19978,West Richmond Railway Station (Richmond),-37.814949,144.991423,1,"Mernda,Hurstbridge",POINT (144.99142901161275 -37.81493583935521)
19979,Jolimont-MCG Railway Station (East Melbourne),-37.816527,144.984098,1,"Mernda,Hurstbridge",POINT (144.98410409271293 -37.8165138088636)
19983,Macleod Railway Station (Macleod),-37.726012,145.069143,2,Hurstbridge,POINT (145.06914904783034 -37.72599883413646)
19984,Watsonia Railway Station (Watsonia),-37.710958,145.083793,2,Hurstbridge,POINT (145.08379888693887 -37.71094480505089)
19985,Greensborough Railway Station (Greensborough),-37.703954,145.108247,2,Hurstbridge,POINT (145.10825296347718 -37.70394082669197)
19986,Montmorency Railway Station (Montmorency),-37.715296,145.121516,2,Hurstbridge,POINT (145.1215218399448 -37.71528280767765)
19987,Eltham Railway Station (Eltham),-37.71355,145.147822,2,Hurstbridge,POINT (145.1478277555895 -37.713536809483195)
19988,Diamond Creek Railway Station (Diamond Creek),-37.673297,145.158506,2,Hurstbridge,POINT (145.15851183815116 -37.673283859971086)
19989,Wattle Glen Railway Station (Wattle Glen),-37.663968,145.181615,2,Hurstbridge,POINT (145.18162095518653 -37.66395482151192)
19990,Hurstbridge Railway Station (Hurstbridge),-37.639398,145.192017,2,Hurstbridge,POINT (145.19202279608552 -37.63938482207917)
19991,Williamstown Railway Station (Williamstown),-37.867753,144.905323,1,Williamstown,POINT (144.9053289008459 -37.867739823802424)
19992,Williamstown Beach Railway Station (Williamstown),-37.863982,144.894484,1,Williamstown,POINT (144.89449002314086 -37.86396882304103)
19993,North Williamstown Railway Station (Williamstown),-37.857333,144.889069,1,Williamstown,POINT (144.8890749048031 -37.857319802631324)
19994,Newport Railway Station (Newport),-37.842718,144.8836,1,"Williamstown,Werribee",POINT (144.88360578733594 -37.84270479216876)
19995,Spotswood Railway Station (Spotswood),-37.830639,144.885933,1,"Williamstown,Werribee",POINT (144.88593894823674 -37.8306258022527)
19996,Yarraville Railway Station (Yarraville),-37.81585,144.889934,1,"Williamstown,Werribee",POINT (144.88993998914077 -37.81583682243331)
19997,Seddon Railway Station (Seddon),-37.809005,144.895672,1,"Williamstown,Werribee",POINT (144.89567802888425 -37.80899187278145)
20000,Watergardens Railway Station (Sydenham),-37.701129,144.77418,2,Sunbury,POINT (144.774185981555 -37.70111579387242)
20001,Keilor Plains Railway Station (St Albans),-37.729279,144.793738,2,Sunbury,POINT (144.79374405515216 -37.729265815369494)
20002,St Albans Railway Station (St Albans),-37.744861,144.80005,2,Sunbury,POINT (144.80005593238653 -37.74484778589326)
20003,Ginifer Railway Station (St Albans),-37.760067,144.811348,2,Sunbury,POINT (144.8113538087946 -37.76005382675248)
20004,Albion Railway Station (Sunshine North),-37.777653,144.824704,"1,2",Sunbury,POINT (144.82470980458663 -37.777639827766436)
20005,Epping Railway Station (Epping),-37.652187,145.031068,2,Mernda,POINT (145.03107402243884 -37.652173811061274)
20006,Lalor Railway Station (Lalor),-37.665851,145.017193,2,Mernda,POINT (145.01719890335036 -37.66583788019449)
