,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Median equivalised total household income (weekly) ($),SA2 Area Name
0,14247.0,2095.8,40.9,8486.0,,,32.0,53.0,52.0,49.0,14.0,42.0,5.0,30.0,5535.0,284.0,145.0,399.0,1162.0,25.0,223.0,1044.0,Region summary_ Croydon - West SA2 211031451.csv
1,15230.0,4334.8,37.9,10794.0,,,50.0,155.0,52.0,52.0,35.0,72.0,3.0,42.0,3486.0,1547.0,1780.0,461.0,2222.0,52.0,545.0,1517.0,Region summary_ Northcote - East SA2 206021499.csv
2,9576.0,2023.7,35.3,6754.0,,,30.0,87.0,27.0,80.0,8.0,67.0,5.0,19.0,2692.0,892.0,371.0,340.0,1361.0,141.0,519.0,969.0,Region summary_ Sunshine SA2 213011336.csv
3,17409.0,3759.2,36.3,11989.0,,,74.0,87.0,43.0,53.0,25.0,67.0,4.0,43.0,3615.0,3784.0,286.0,400.0,2351.0,15.0,575.0,1259.0,Region summary_ Pascoe Vale SA2 210031538.csv
4,16085.0,6664.6,34.7,12591.0,,,49.0,148.0,55.0,78.0,24.0,93.0,,22.0,1241.0,1256.0,6848.0,384.0,3803.0,244.0,972.0,1517.0,Region summary_ St Kilda East SA2 206051134.csv
5,8295.0,3599.9,34.4,6125.0,,,25.0,135.0,53.0,21.0,23.0,42.0,,15.0,313.0,2723.0,1044.0,541.0,1664.0,,382.0,1619.0,Region summary_ Carlton North - Princes Hill SA2 206071140.csv
6,24762.0,459.5,30.7,16395.0,,,71.0,58.0,29.0,104.0,22.0,59.0,9.0,381.0,6847.0,851.0,154.0,391.0,1706.0,50.0,540.0,1045.0,Region summary_ Wollert SA2 209041437.csv
7,16756.0,3643.5,39.3,10863.0,,,24.0,126.0,73.0,70.0,38.0,74.0,4.0,73.0,4255.0,978.0,1143.0,508.0,1464.0,30.0,320.0,1285.0,Region summary_ Bentleigh East - North SA2 208021426.csv
8,10032.0,3018.8,38.4,6398.0,,,65.0,37.0,4.0,48.0,12.0,33.0,4.0,11.0,3308.0,286.0,420.0,350.0,1181.0,98.0,323.0,728.0,Region summary_ Lalor - East SA2 209041529.csv
9,19241.0,2480.5,36.5,12595.0,,,171.0,71.0,20.0,63.0,15.0,43.0,3.0,11.0,6466.0,1229.0,30.0,315.0,2457.0,73.0,477.0,845.0,Region summary_ Werribee - East SA2 213051467.csv
10,12280.0,1669.1,32.5,8269.0,,,46.0,56.0,25.0,57.0,14.0,52.0,4.0,16.0,3366.0,613.0,73.0,381.0,1134.0,17.0,278.0,1016.0,Region summary_ Epping (Vic.) - West SA2 209041433.csv
11,13631.0,1560.3,36.7,8622.0,,,56.0,37.0,27.0,48.0,5.0,46.0,3.0,31.0,4399.0,229.0,152.0,366.0,1001.0,56.0,325.0,807.0,Region summary_ Lalor - West SA2 209041530.csv
12,12713.0,927.3,34.6,8812.0,,,53.0,50.0,36.0,50.0,12.0,21.0,5.0,24.0,3652.0,397.0,,400.0,734.0,6.0,276.0,1165.0,Region summary_ South Morang - North SA2 209041435.csv
13,13098.0,3029.6,46.6,8133.0,,,20.0,274.0,346.0,97.0,24.0,79.0,4.0,219.0,2076.0,1395.0,3781.0,490.0,1712.0,3.0,390.0,1865.0,Region summary_ Toorak SA2 206061138.csv
14,13523.0,2639.5,34.1,9188.0,,,61.0,46.0,19.0,76.0,9.0,37.0,4.0,9.0,4209.0,308.0,40.0,350.0,1244.0,73.0,247.0,821.0,Region summary_ Hampton Park - West SA2 212031562.csv
15,15998.0,6597.7,31.3,12916.0,,,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,1281.0,Region summary_ North Melbourne SA2 206041506.csv
16,3540.0,48.5,45.5,2074.0,,,3.0,10.0,27.0,13.0,14.0,14.0,,13.0,1395.0,10.0,,361.0,101.0,,23.0,1376.0,Region summary_ Macedon SA2 210021233.csv
17,14187.0,4450.7,37.5,9736.0,,,40.0,99.0,24.0,32.0,14.0,39.0,3.0,30.0,4322.0,1034.0,349.0,450.0,1465.0,54.0,524.0,1284.0,Region summary_ Coburg - West SA2 206011498.csv
18,18665.0,1770.6,40.9,12311.0,,,67.0,45.0,33.0,56.0,17.0,38.0,13.0,11.0,6570.0,769.0,436.0,341.0,1895.0,52.0,380.0,992.0,Region summary_ Altona Meadows SA2 213021342.csv
19,7963.0,1910.1,40.7,5315.0,,,12.0,20.0,40.0,37.0,13.0,31.0,,3.0,2429.0,310.0,,450.0,331.0,8.0,92.0,1206.0,Region summary_ Rowville - North SA2 211011257.csv
20,12042.0,2516.7,33.6,8168.0,,,55.0,27.0,11.0,38.0,11.0,22.0,3.0,22.0,3873.0,188.0,5.0,355.0,901.0,41.0,183.0,945.0,Region summary_ Cranbourne North - West SA2 212031560.csv
21,22839.0,2414.5,38.4,14672.0,,,89.0,74.0,36.0,116.0,19.0,59.0,10.0,25.0,7037.0,994.0,283.0,341.0,2101.0,269.0,397.0,830.0,Region summary_ Dandenong North SA2 212041312.csv
22,17359.0,1396.3,40.4,11240.0,,,138.0,59.0,41.0,80.0,26.0,52.0,3.0,32.0,5983.0,1939.0,250.0,351.0,2368.0,41.0,264.0,1011.0,Region summary_ Seaford (Vic.) SA2 214011375.csv
23,10636.0,1660.7,57.2,5427.0,,,28.0,166.0,88.0,68.0,25.0,91.0,,55.0,3850.0,989.0,863.0,410.0,1202.0,17.0,47.0,983.0,Region summary_ Mornington - West SA2 214021592.csv
24,7968.0,808.0,39.2,4852.0,,,122.0,46.0,16.0,22.0,6.0,36.0,6.0,1.0,2886.0,614.0,,300.0,1036.0,33.0,93.0,693.0,Region summary_ Melton SA2 213041577.csv
25,13620.0,2794.4,36.2,9475.0,,,46.0,35.0,33.0,38.0,11.0,20.0,9.0,7.0,4506.0,106.0,20.0,370.0,917.0,35.0,176.0,1042.0,Region summary_ Narre Warren - North East SA2 212021455.csv
26,11456.0,9794.8,32.3,9903.0,,,25.0,167.0,305.0,103.0,42.0,145.0,3.0,21.0,191.0,235.0,7998.0,426.0,4080.0,20.0,956.0,1701.0,Region summary_ South Yarra - North SA2 206061515.csv
27,19152.0,3832.5,37.2,13743.0,,,115.0,140.0,50.0,68.0,23.0,90.0,3.0,51.0,4470.0,2170.0,2366.0,396.0,3299.0,98.0,734.0,1343.0,Region summary_ Thornbury SA2 206021112.csv
28,10564.0,1172.6,34.0,7808.0,,,53.0,69.0,21.0,45.0,19.0,43.0,3.0,8.0,2381.0,831.0,1250.0,369.0,1285.0,120.0,382.0,1055.0,Region summary_ Kingsbury SA2 209021205.csv
29,22661.0,177.5,32.0,15635.0,,,221.0,50.0,29.0,79.0,13.0,32.0,11.0,384.0,7481.0,703.0,126.0,360.0,2265.0,76.0,556.0,1133.0,Region summary_ Werribee - West SA2 213051468.csv
30,21834.0,1692.8,31.8,14444.0,,,69.0,41.0,12.0,85.0,10.0,45.0,8.0,156.0,5915.0,1100.0,5.0,380.0,1423.0,99.0,325.0,1036.0,Region summary_ Cranbourne West SA2 212031304.csv
31,6295.0,2063.8,36.1,4002.0,,,25.0,14.0,8.0,19.0,9.0,23.0,4.0,19.0,1877.0,706.0,25.0,376.0,619.0,31.0,130.0,920.0,Region summary_ Hadfield SA2 210031440.csv
32,1942.0,254.1,31.7,1737.0,,,5.0,209.0,156.0,85.0,23.0,80.0,10.0,252.0,5.0,340.0,729.0,585.0,471.0,10.0,95.0,1778.0,Region summary_ Port Melbourne Industrial SA2 206051511.csv
33,9190.0,5813.5,34.2,6950.0,,,44.0,62.0,32.0,28.0,13.0,46.0,3.0,17.0,926.0,940.0,3285.0,324.0,2456.0,56.0,579.0,1183.0,Region summary_ Flemington SA2 206031115.csv
34,18803.0,4942.3,36.0,13392.0,,,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,1306.0,Region summary_ Carnegie SA2 208021176.csv
35,4494.0,53.9,42.3,2882.0,,,7.0,19.0,12.0,21.0,12.0,13.0,,17.0,1584.0,91.0,10.0,400.0,172.0,4.0,59.0,1220.0,Region summary_ Riddells Creek SA2 210021234.csv
36,24240.0,222.6,41.9,14574.0,,,184.0,77.0,52.0,76.0,17.0,63.0,3.0,55.0,9060.0,1635.0,80.0,330.0,2014.0,80.0,113.0,909.0,Region summary_ Hastings - Somers SA2 214021379.csv
37,10747.0,36.1,36.8,6821.0,,,54.0,32.0,21.0,25.0,7.0,24.0,5.0,272.0,3589.0,281.0,41.0,375.0,558.0,21.0,136.0,1058.0,Region summary_ Whittlesea SA2 209041225.csv
38,21429.0,2689.3,41.7,13927.0,,,38.0,106.0,93.0,92.0,34.0,94.0,10.0,80.0,4238.0,3617.0,1180.0,400.0,2086.0,64.0,365.0,1308.0,Region summary_ Mordialloc - Parkdale SA2 208031193.csv
39,21899.0,2389.5,41.7,13532.0,,,9.0,257.0,111.0,97.0,31.0,110.0,3.0,69.0,7161.0,710.0,198.0,500.0,1631.0,66.0,532.0,1049.0,Region summary_ Glen Waverley - East SA2 212051321.csv
40,6985.0,140.3,43.3,4581.0,,,14.0,50.0,47.0,38.0,16.0,23.0,3.0,11.0,2331.0,15.0,5.0,462.0,137.0,,66.0,1524.0,Region summary_ Research - North Warrandyte SA2 209031214.csv
41,12672.0,3381.8,36.7,9300.0,,,49.0,126.0,63.0,67.0,25.0,101.0,5.0,21.0,2924.0,1786.0,999.0,416.0,1920.0,65.0,647.0,1235.0,Region summary_ Coburg - East SA2 206011497.csv
42,13695.0,2762.5,33.6,9093.0,,,136.0,40.0,5.0,46.0,12.0,22.0,,7.0,4524.0,163.0,10.0,336.0,1083.0,79.0,312.0,988.0,Region summary_ Wyndham Vale - South SA2 213051590.csv
43,11643.0,523.4,32.2,8591.0,,,56.0,65.0,44.0,122.0,25.0,78.0,9.0,77.0,3606.0,529.0,268.0,380.0,1729.0,69.0,578.0,1205.0,Region summary_ Laverton SA2 213051363.csv
44,23053.0,2811.2,47.8,13722.0,,,29.0,438.0,374.0,137.0,76.0,126.0,3.0,262.0,5666.0,2319.0,2273.0,600.0,2083.0,17.0,434.0,1807.0,Region summary_ Brighton (Vic.) SA2 208011169.csv
45,17647.0,2168.9,40.0,12241.0,,,116.0,89.0,38.0,79.0,20.0,88.0,3.0,8.0,5567.0,647.0,269.0,365.0,1352.0,69.0,325.0,1032.0,Region summary_ Mill Park - North SA2 209041220.csv
46,17666.0,2819.9,37.6,11588.0,,,43.0,41.0,19.0,78.0,11.0,48.0,5.0,12.0,4959.0,834.0,509.0,323.0,1881.0,199.0,669.0,683.0,Region summary_ St Albans - South SA2 213011335.csv
47,15095.0,364.2,38.5,9666.0,,,62.0,75.0,46.0,41.0,23.0,69.0,,63.0,4738.0,621.0,995.0,351.0,1461.0,37.0,267.0,1070.0,Region summary_ Sunbury - South SA2 210041540.csv
48,16202.0,2542.8,40.2,10225.0,,,35.0,263.0,72.0,66.0,36.0,70.0,9.0,34.0,4238.0,1172.0,1626.0,401.0,1958.0,49.0,454.0,1369.0,Region summary_ Heidelberg - Rosanna SA2 209011198.csv
49,15204.0,2301.8,39.9,9568.0,,,32.0,41.0,36.0,69.0,10.0,64.0,8.0,13.0,4631.0,492.0,58.0,381.0,996.0,142.0,239.0,831.0,Region summary_ Keysborough - North SA2 212041565.csv
50,7446.0,1838.9,26.8,6202.0,,,32.0,213.0,48.0,33.0,13.0,35.0,,10.0,55.0,948.0,1811.0,396.0,1377.0,84.0,447.0,1385.0,Region summary_ Parkville SA2 206041124.csv
51,8976.0,3437.9,33.5,6329.0,,,26.0,44.0,20.0,48.0,10.0,25.0,11.0,19.0,1689.0,1205.0,787.0,369.0,1241.0,67.0,650.0,1133.0,Region summary_ Glenroy - West SA2 210031536.csv
52,14450.0,1739.6,41.2,8753.0,,,35.0,107.0,57.0,61.0,14.0,52.0,,28.0,4704.0,547.0,34.0,427.0,974.0,46.0,213.0,1071.0,Region summary_ Wantirna SA2 211011259.csv
53,19800.0,3317.7,34.5,13247.0,,,22.0,64.0,57.0,64.0,14.0,77.0,4.0,9.0,5064.0,823.0,,400.0,707.0,82.0,333.0,1142.0,Region summary_ Taylors Hill SA2 213041360.csv
54,6442.0,3228.4,33.4,4211.0,,,3.0,20.0,14.0,36.0,5.0,17.0,3.0,1.0,1637.0,170.0,,411.0,309.0,6.0,120.0,1087.0,Region summary_ Burnside Heights SA2 213041462.csv
55,22005.0,1847.0,32.0,15069.0,,,62.0,80.0,35.0,103.0,20.0,53.0,8.0,83.0,6070.0,561.0,45.0,375.0,1592.0,59.0,489.0,942.0,Region summary_ Craigieburn - South SA2 210051443.csv
56,6021.0,21.0,56.2,3295.0,,,3.0,46.0,44.0,35.0,18.0,59.0,,79.0,3864.0,25.0,30.0,424.0,246.0,13.0,12.0,1389.0,Region summary_ Flinders SA2 214021378.csv
57,6635.0,7809.6,33.3,5606.0,,,22.0,76.0,205.0,82.0,20.0,83.0,4.0,1.0,,,5005.0,430.0,2069.0,36.0,562.0,1575.0,Region summary_ Southbank (West) - South Wharf SA2 206041508.csv
58,20078.0,1873.1,39.7,12646.0,,,23.0,148.0,124.0,138.0,37.0,93.0,7.0,53.0,6123.0,1229.0,25.0,430.0,1530.0,93.0,366.0,1065.0,Region summary_ Mulgrave SA2 212051325.csv
59,25045.0,127.6,37.0,15803.0,,,139.0,83.0,54.0,58.0,24.0,60.0,3.0,138.0,8690.0,885.0,103.0,340.0,1837.0,80.0,310.0,1073.0,Region summary_ Bacchus Marsh SA2 213041353.csv
60,19003.0,2710.3,37.0,12359.0,,,111.0,80.0,25.0,81.0,15.0,51.0,7.0,7.0,6068.0,383.0,682.0,340.0,1924.0,123.0,503.0,876.0,Region summary_ Hoppers Crossing - South SA2 213051362.csv
61,18232.0,3844.3,41.3,11250.0,,,9.0,235.0,195.0,100.0,57.0,80.0,14.0,109.0,3653.0,2506.0,1362.0,483.0,1873.0,85.0,454.0,1454.0,Region summary_ Caulfield - South SA2 208021178.csv
62,15041.0,5891.5,37.9,11480.0,,,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,1641.0,Region summary_ Elwood SA2 206051129.csv
63,16406.0,788.6,44.9,10135.0,,,10.0,149.0,129.0,82.0,35.0,43.0,4.0,35.0,5261.0,477.0,165.0,451.0,689.0,11.0,189.0,1290.0,Region summary_ Donvale - Park Orchards SA2 211021261.csv
64,12313.0,3464.3,37.4,8783.0,,,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,1459.0,Region summary_ Essendon - East SA2 206031502.csv
