,Unnamed: 0,geometry,address
0,0,POINT (144.6867955 -37.8725625),"Durham Crescent, Mossfiel, Hoppers Crossing, Melbourne, City of Wyndham, Victoria, 3029, Australia"
1,1,POINT (145.0294366 -37.7618963),"Mabel Street, Ivanhoe, Melbourne, City of Banyule, Victoria, 3078, Australia"
2,2,POINT (145.0356549 -37.7647315),"Green Street, Ivanhoe, Melbourne, City of Banyule, Victoria, 3079, Australia"
3,3,POINT (145.0450926536774 -37.7676783),"15, Ivanhoe Parade, Ivanhoe East, Melbourne, City of Banyule, Victoria, 3079, Australia"
4,4,POINT (145.0373638092353 -37.7140559),"63, Dunne Street, Kingsbury, Melbourne, City of Darebin, Victoria, 3086, Australia"
5,5,POINT (145.0139611 -37.6640187),"Tandarra Crescent, Lalor, Melbourne, City of Whittlesea, Victoria, 3075, Australia"
6,6,POINT (145.2084568 -38.1439109),"Julie Court, Langwarrin, Melbourne, City of Frankston, Victoria, 3910, Australia"
7,7,POINT (145.0350359 -37.867502),"Johnstone Street, Malvern, Melbourne, City of Stonnington, Victoria, 3144, Australia"
8,8,POINT (145.1430832 -38.1446007),"Campbell Street, Frankston, Melbourne, City of Frankston, Victoria, 3199, Australia"
9,9,POINT (145.0044049 -38.4726732),"Boneo Road, Flinders, Melbourne, Shire of Mornington Peninsula, Victoria, Australia"
10,10,POINT (144.9799798 -37.83751),"Toorak Road, South Yarra, Melbourne, City of Melbourne, Victoria, 3141, Australia"
11,11,POINT (145.2151626 -37.9741505),"Godfrey Crescent, Dandenong, Melbourne, City of Greater Dandenong, Victoria, 3802, Australia"
12,12,POINT (144.9543669 -37.8214085),"Flinders Street, Yarra’s Edge, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia"
13,13,POINT (144.9543669 -37.8214085),"Flinders Street, Yarra’s Edge, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia"
14,14,POINT (144.94118200840478 -37.823461550000005),"Yarra Point, 1-13, Point Park Crescent, Yarra’s Edge, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia"
15,15,POINT (144.9543669 -37.8214085),"Flinders Street, Yarra’s Edge, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia"
16,16,POINT (144.9435771 -37.8132055),"Harbour Esplanade, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia"
17,17,POINT (144.9524323 -37.8226764),"60, Siddeley Street, Yarra’s Edge, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia"
18,18,POINT (144.9471193241901 -37.818273399999995),"Victoria Point, 100, Harbour Esplanade, Yarra’s Edge, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia"
19,19,POINT (144.9543669 -37.8214085),"Flinders Street, Yarra’s Edge, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia"
20,20,POINT (145.1175206 -37.6041653),"Resort Boulevard, Plenty River Estate, Doreen, Melbourne, City of Whittlesea, Victoria, 3754, Australia"
21,21,POINT (145.137274 -37.7175589),"198, Sherbourne Road, Montmorency, Melbourne, City of Banyule, Victoria, 3094, Australia"
22,22,POINT (144.8933596 -37.7451927),"Ogilvie Street, Essendon, Melbourne, City of Moonee Valley, Victoria, 3040, Australia"
23,23,POINT (144.9096718 -37.7993936),"6, Joseph Road, Footscray, Melbourne, City of Maribyrnong, Victoria, 3011, Australia"
24,24,POINT (145.1299002 -37.9183617),"Panorama Street, Clayton, Melbourne, City of Monash, Victoria, 3800, Australia"
25,26,POINT (144.94186226006886 -37.821186499999996),"889 Collins Street, Collins Street, Victoria Harbour, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia"
26,27,POINT (144.9435771 -37.8132055),"Harbour Esplanade, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia"
27,28,POINT (144.9823241 -37.8732588),"Dickens Street, Elwood, Melbourne, City of Port Phillip, Victoria, 3182, Australia"
28,29,POINT (144.8938795 -37.7489978),"Bradshaw Street, Essendon, Melbourne, City of Moonee Valley, Victoria, 3040, Australia"
29,30,POINT (144.9195606 -37.7458503),"Morton Street, Essendon, Melbourne, City of Moonee Valley, Victoria, 3040, Australia"
30,32,POINT (145.1236463 -38.1565484),"Bayview Road, Frankston, Melbourne, City of Frankston, Victoria, 3199, Australia"
31,33,POINT (145.0405781 -37.7728723),"Heidelberg Road, Ivanhoe, Melbourne, City of Banyule, Victoria, 3079, Australia"
32,34,POINT (144.9246049594702 -37.78961535),"19, Weighbridge Lane, Kensington, Melbourne, City of Melbourne, Victoria, 3031, Australia"
33,35,POINT (144.7505388 -37.751316),"Roycroft Avenue, Burnside, Melbourne, City of Melton, Victoria, 3023, Australia"
34,36,POINT (145.1270101 -37.9251284),"29, Browns Road, Clayton, Melbourne, City of Monash, Victoria, 3800, Australia"
35,37,POINT (145.1234947 -37.9184385),"Murray Street, Clayton, Melbourne, City of Monash, Victoria, 3800, Australia"
36,38,POINT (145.1105519 -37.9239051),"12A, McBean Street, Clayton, Melbourne, City of Monash, Victoria, 3169, Australia"
37,39,POINT (144.91731736410634 -37.70450915),"Glenroy, Dowd Place, Glenroy, Melbourne, City of Merri-bek, Victoria, 3046, Australia"
