STOP_ID,LATITUDE,STOP_NAME,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry
18730,-37.744359,134-Merribell Ave/Nicholson St (Coburg),144.977728,1,1,POINT (144.97772797037925 -37.74435902693998)
18732,-37.811375,44-Deepdene Park/Whitehorse Rd (Balwyn),145.068671,1,109,POINT (145.0686711679629 -37.81137502027105)
18733,-37.81175,45-Hardwicke St/Whitehorse Rd (Balwyn),145.071785,1,109,POINT (145.07178516891477 -37.811750050390124)
18734,-37.812242,46-Balwyn Cinema/Whitehorse Rd (Balwyn),145.07593,1,109,POINT (145.07592984821602 -37.812241990848044)
18735,-37.812919,47-Balwyn Rd/Whitehorse Rd (Balwyn),145.081524,"1,2",109,POINT (145.0815238870458 -37.81291897147772)
18736,-37.813199,48-Balwyn Shopping Centre/Whitehorse Rd (Balwyn),145.083788,"1,2",109,POINT (145.08378792649393 -37.81319905173691)
18737,-37.81369,49-Northcote Ave/Whitehorse Rd (Balwyn),145.087956,"1,2",109,POINT (145.0879560138222 -37.81369000181864)
18738,-37.814564,51-Narrak Rd/Whitehorse Rd (Mont Albert),145.09517,"1,2",109,POINT (145.09517007326883 -37.8145639915366)
18781,-37.841755,134-Orrong Rd/Toorak Rd (Toorak),145.014048,1,58,POINT (145.01404801408063 -37.8417549652911)
18782,-37.842166,135-Woorigoleen Rd/Toorak Rd (Toorak),145.017583,1,58,POINT (145.01758285392924 -37.84216599660634)
18783,-37.842461,136-Irving Rd/Toorak Rd (Toorak),145.020086,1,58,POINT (145.02008593398136 -37.84246101753817)
18784,-37.842844,137-Kooyong Rd/Toorak Rd (Toorak),145.023065,1,58,POINT (145.02306493425374 -37.84284396865829)
18785,-37.843231,138-Moonga Rd/Toorak Rd (Toorak),145.026248,1,58,POINT (145.02624805243877 -37.84323096928924)
18786,-37.843615,139-Glenbervie Rd/Toorak Rd (Toorak),145.029817,1,58,POINT (145.02981708576405 -37.843614998930995)
18789,-37.797113,112-Lygon St/Elgin St (Carlton),144.967159,1,"6,1",POINT (144.96715908477233 -37.79711298154615)
18790,-37.794127,113-Lytton St/Lygon St (Carlton),144.968025,1,"6,1",POINT (144.9680248856526 -37.79412696184726)
18791,-37.792689,114-Princes St/Lygon St (Carlton North),144.968269,1,"6,1",POINT (144.96826896586782 -37.792689031916254)
18792,-37.78958,115-Melbourne Cemetery/Lygon St (Carlton North),144.968797,1,"6,1",POINT (144.96879708634555 -37.78957998198354)
18793,-37.78737,116-Fenwick St/Lygon St (Carlton North),144.969186,1,"6,1",POINT (144.96918588671224 -37.78737003196181)
18794,-37.784036,117-Richardson St/Lygon St (Carlton North),144.969732,1,"6,1",POINT (144.96973200815034 -37.78403598150266)
18795,-37.781924,118-Pigdon St/Lygon St (Carlton North),144.970074,1,"6,1",POINT (144.97007401040983 -37.78192404068825)
18899,-37.845278,26-Alfred Hospital/Commercial Rd (South Yarra),144.982225,1,72,POINT (144.98222511232117 -37.845278011805846)
18918,-37.84563,27-Punt Rd/Commercial Rd (South Yarra),144.984863,1,72,POINT (144.9848631956962 -37.84563000239654)
18923,-37.845899,28-Braille Library/Commercial Rd (South Yarra),144.987413,1,72,POINT (144.98741307861226 -37.84589901289538)
18931,-37.846314,29-Porter St/Commercial Rd (South Yarra),144.990583,1,72,POINT (144.99058288150593 -37.84631400344954)
18933,-37.846541,30-Prahran Market/Commercial Rd (South Yarra),144.992271,1,72,POINT (144.99227092273875 -37.8465409837066)
18934,-37.84676,31-Chapel St/Commercial Rd (South Yarra),144.994015,1,72,POINT (144.99401512385128 -37.846760043945125)
18935,-37.847293,32-Surrey Rd/Malvern Rd (South Yarra),144.997807,1,72,POINT (144.99780699708214 -37.847293024245026)
18936,-37.847653,33-Francis St/Malvern Rd (South Yarra),145.000434,1,72,POINT (145.0004339106812 -37.84765302443186)
18937,-37.848004,34-Williams Rd/Malvern Rd (South Yarra),145.00305,1,72,POINT (145.00305002465905 -37.848004024635635)
18938,-37.84848,35-Mathoura Rd/Malvern Rd (Toorak),145.006685,1,72,POINT (145.00668493685455 -37.84848003494709)
18939,-37.848923,36-A'Beckett St/Malvern Rd (Toorak),145.009992,1,72,POINT (145.0099918902767 -37.84892301525811)
18940,-37.849193,37-Orrong Rd/Malvern Rd (Toorak),145.012076,1,72,POINT (145.0120759302367 -37.84919301577811)
18941,-37.849618,38-Clendon Rd/Malvern Rd (Toorak),145.01536,1,72,POINT (145.01535985019333 -37.849617996558315)
18942,-37.850052,39-Irving Rd/Malvern Rd (Toorak),145.018679,1,72,POINT (145.01867905013762 -37.850051977294974)
18943,-37.850403,40-Kooyong Rd/Malvern Rd (Toorak),145.021306,1,72,POINT (145.02130597007977 -37.8504029778396)
18944,-37.850763,41-Albany Rd/Malvern Rd (Toorak),145.023956,1,72,POINT (145.02395593000978 -37.85076297835378)
18945,-37.851052,42-Lauriston Girls School/Malvern Rd (Toorak),145.026141,1,72,POINT (145.02614112878774 -37.851051968408356)
18946,-37.851547,43-Glenferrie Rd/Malvern Rd (Toorak),145.029867,1,72,POINT (145.0298671255024 -37.85154696799563)
18947,-37.851897,44-Plant St/Malvern Rd (Malvern),145.032495,1,72,POINT (145.03249512376482 -37.85189697774404)
18948,-37.852259,45-Elizabeth St/Malvern Rd (Malvern),145.035304,1,72,POINT (145.0353038424212 -37.85225904751251)
18949,-37.852784,46-Meredith St/Malvern Rd (Malvern),145.039234,1,72,POINT (145.03923396147778 -37.8527840172494)
18950,-37.853128,47-Tooronga Rd/Malvern Rd (Malvern),145.041987,1,72,POINT (145.04198688340395 -37.85312799730266)
18951,-37.853556,48-Edgar St/Malvern Rd (Malvern),145.045555,1,72,POINT (145.04555484635617 -37.853556037432476)
18952,-37.8539,49-Kenilworth Gr/Malvern Rd (Malvern),145.04832,1,72,POINT (145.04832000812485 -37.85390001749378)
18953,-37.854322,50-Burke Rd/Malvern Rd (Malvern),145.051491,1,72,POINT (145.05149088956074 -37.85432202751667)
18954,-37.852854,51-Gardiner Railway Station/Burke Rd (Hawthorn East),145.052677,1,72,POINT (145.05267709073385 -37.852854037876256)
18955,-37.849778,52-Harris Ave/Burke Rd (Hawthorn East),145.053042,1,72,POINT (145.05304213281522 -37.849778018602905)
18956,-37.848171,53-Faircroft Ave/Burke Rd (Hawthorn East),145.053392,1,72,POINT (145.05339205443144 -37.84817097902016)
18957,-37.8458,54-Toorak Rd/Burke Rd (Glen Iris),145.053874,1,72,POINT (145.05387409724474 -37.84580001966631)
18958,-37.843796,55-Middle Rd/Burke Rd (Hawthorn East),145.054245,1,72,POINT (145.0542448992227 -37.84379599011624)
18959,-37.841856,56-Anderson Rd/Burke Rd (Hawthorn East),145.054626,1,72,POINT (145.05462614049497 -37.84185604047461)
18960,-37.840257,57-Pine Ave/Burke Rd (Hawthorn East),145.054941,1,72,POINT (145.0549411412653 -37.84025701076153)
18961,-37.838164,58-Leura Gr/Burke Rd (Hawthorn East),145.055336,1,72,POINT (145.05533606117606 -37.838163970943924)
18962,-37.835415,59-Pleasant Rd/Burke Rd (Hawthorn East),145.055829,1,72,POINT (145.0558289008526 -37.83541501113069)
18963,-37.833717,60-Campbell Rd/Burke Rd (Hawthorn East),145.056158,1,72,POINT (145.05615794060478 -37.83371698122325)
18964,-37.83157,61-Riversdale Rd/Burke Rd (Hawthorn East),145.056566,1,72,POINT (145.0565661802774 -37.83157003132939)
18965,-37.830204,62-Camberwell Shopping Centre/755 Burke Rd (Hawthorn East),145.056818,1,72,POINT (145.05681818006516 -37.83020401139233)
18966,-37.828219,63-Prospect Hill Rd/Burke Rd (Hawthorn East),145.057222,1,72,POINT (145.05722209730257 -37.828218971347056)
