Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,9288,9522,9586,9662,9262,9470
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,5336.4,5470.8,5507.6,5551.3,5321.5,5441
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,4782,4950,4987,5042,4768,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,4506,4572,4599,4620,4494,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,32.8,33,33.2,33.5,34,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,31.6,31.8,32,32.5,33.3,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,32.2,32.4,32.7,33.1,33.7,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,7702,7889,7947,8000,7675,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,82.9,82.9,82.9,82.8,82.9,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,195,201,203,196,178,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,115,119,112,114,110,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,78,71,80,97,95,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,105,112,104,92,87,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,428,434,423,400,335,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,926,942,942,927,832,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,876,912,927,943,898,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,531,577,601,635,626,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,320,343,355,375,375,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,269,276,273,276,273,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,219,228,222,224,222,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,177,188,198,206,199,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,159,157,164,162,157,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,149,142,126,136,131,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,104,104,115,119,113,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,51,64,65,70,72,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,36,35,35,36,36,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,44,45,42,34,29,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,4.1,4.1,4.1,3.9,3.7,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,2.4,2.4,2.2,2.3,2.3,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,1.6,1.4,1.6,1.9,2,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,2.2,2.3,2.1,1.8,1.8,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,9,8.8,8.5,7.9,7,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,19.4,19,18.9,18.4,17.4,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,18.3,18.4,18.6,18.7,18.8,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,11.1,11.7,12.1,12.6,13.1,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,6.7,6.9,7.1,7.4,7.9,
