Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,20156,20087,20014,19477,18665,18346
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,1912,1905.4,1898.5,1847.6,1770.6,1740.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,9933,9898,9861,9548,9073,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,10223,10189,10153,9929,9592,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,36.9,37.2,37.6,38.4,39.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,39.1,39.4,39.7,40.8,42.3,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,38,38.3,38.6,39.6,40.9,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,13847,13680,13504,13007,12311,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,68.7,68.1,67.5,66.8,66,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,694,689,680,628,595,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,552,568,575,556,507,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,512,505,516,497,461,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,523,499,476,481,477,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,711,703,686,598,510,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,833,811,775,724,657,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,832,798,787,774,703,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,711,744,778,750,693,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,656,647,612,612,608,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,676,665,671,625,557,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,660,653,628,609,627,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,692,682,661,628,599,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,581,609,644,641,623,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,479,481,479,490,501,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,334,368,392,423,426,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,224,215,237,254,253,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,135,138,129,125,140,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,128,123,135,133,136,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,7,7,6.9,6.6,6.6,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,5.6,5.7,5.8,5.8,5.6,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,5.2,5.1,5.2,5.2,5.1,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,5.3,5,4.8,5,5.3,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,7.2,7.1,7,6.3,5.6,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,8.4,8.2,7.9,7.6,7.2,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,8.4,8.1,8,8.1,7.7,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,7.2,7.5,7.9,7.9,7.6,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,6.6,6.5,6.2,6.4,6.7,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,6.8,6.7,6.8,6.5,6.1,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,6.6,6.6,6.4,6.4,6.9,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,7,6.9,6.7,6.6,6.6,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,5.8,6.2,6.5,6.7,6.9,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,4.8,4.9,4.9,5.1,5.5,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,3.4,3.7,4,4.4,4.7,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,2.3,2.2,2.4,2.7,2.8,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,1.4,1.4,1.3,1.3,1.5,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,1.3,1.2,1.4,1.4,1.5,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,628,622,606,583,543,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,596,586,589,548,508,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,474,491,502,499,468,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,493,489,463,421,412,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,629,594,581,559,496,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,825,784,752,667,604,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,879,883,864,818,707,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,712,729,757,756,735,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,624,624,618,619,649,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,714,700,689,657,605,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,752,740,708,693,688,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,734,726,730,713,696,
