Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,8226,8224,8178,8075,7595,7469
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1792.8,1792.4,1782.4,1759.9,1655.3,1627.8
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,4356,4360,4338,4275,3988,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,3870,3864,3840,3800,3607,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,33.4,33.5,33.8,34.4,35.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,34.7,35,35.5,36.1,37,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,34,34.2,34.5,35.2,36.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,5728,5729,5682,5579,5256,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,69.6,69.7,69.5,69.1,69.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,333,343,337,313,226,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,212,228,240,242,228,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,166,152,144,147,142,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,181,183,175,159,140,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,390,383,371,340,289,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,507,506,503,490,447,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,544,530,516,499,465,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,371,381,389,408,402,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,320,319,327,314,297,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,221,231,236,265,282,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,218,207,210,200,192,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,200,203,190,194,192,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,197,188,183,171,165,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,174,175,188,192,173,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,119,128,126,128,142,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,94,91,91,95,95,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,62,60,63,76,69,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,47,52,49,42,42,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,7.6,7.9,7.8,7.3,5.7,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,4.9,5.2,5.5,5.7,5.7,
