Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,8175,8245,8292,8301,8025,7944
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2882,2906.6,2923.2,2926.4,2829.1,2800.5
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,4026,4046,4062,4061,3985,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,4149,4199,4230,4240,4040,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,37.5,37.5,37.8,38.3,39.5,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,41,41.4,41.8,42.7,43.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,39.4,39.7,40,40.8,41.4,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,5238,5291,5331,5328,5081,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,64.1,64.2,64.3,64.2,63.3,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,292,280,260,259,236,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,328,329,344,328,315,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,291,291,298,303,305,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,276,286,288,290,286,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,293,303,302,297,272,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,204,198,191,184,170,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,205,206,216,206,195,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,253,257,244,244,234,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,311,317,305,293,284,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,324,310,310,311,304,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,278,280,284,280,285,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,249,256,267,271,272,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,198,197,205,224,224,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,171,175,179,190,198,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,119,127,134,135,141,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,96,91,87,95,103,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,68,71,73,75,83,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,70,72,75,76,78,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,7.3,6.9,6.4,6.4,5.9,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,8.1,8.1,8.5,8.1,7.9,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,7.2,7.2,7.3,7.5,7.7,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,6.9,7.1,7.1,7.1,7.2,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,7.3,7.5,7.4,7.3,6.8,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,5.1,4.9,4.7,4.5,4.3,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,5.1,5.1,5.3,5.1,4.9,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,6.3,6.4,6,6,5.9,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,7.7,7.8,7.5,7.2,7.1,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,8,7.7,7.6,7.7,7.6,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,6.9,6.9,7,6.9,7.2,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,6.2,6.3,6.6,6.7,6.8,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,4.9,4.9,5,5.5,5.6,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,4.2,4.3,4.4,4.7,5,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,3,3.1,3.3,3.3,3.5,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,2.4,2.2,2.1,2.3,2.6,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,1.7,1.8,1.8,1.8,2.1,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,1.7,1.8,1.8,1.9,2,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,239,232,223,219,198,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,324,311,301,268,252,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,296,306,311,321,314,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,231,245,258,274,270,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,222,225,228,223,196,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,205,203,190,176,169,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,223,222,228,223,204,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,274,265,262,258,246,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,330,329,296,291,296,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,366,379,404,399,322,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,299,315,343,355,334,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,277,261,261,270,275,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,220,237,249,259,243,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,,152,164,169,182,190,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,,139,148,144,154,157,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,104,111,124,122,123,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,82,78,80,90,99,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,166,168,159,156,152,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,,5.8,5.5,5.3,5.2,4.9,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,,7.8,7.4,7.1,6.3,6.2,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,7.1,7.3,7.4,7.6,7.8,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,,5.6,5.8,6.1,6.5,6.7,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,5.4,5.4,5.4,5.3,4.9,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,4.9,4.8,4.5,4.2,4.2,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,,5.4,5.3,5.4,5.3,5,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,,6.6,6.3,6.2,6.1,6.1,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,,8,7.8,7,6.9,7.3,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,,8.8,9,9.6,9.4,8,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,,7.2,7.5,8.1,8.4,8.3,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,,6.7,6.2,6.2,6.4,6.8,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,,5.3,5.6,5.9,6.1,6,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,,3.7,3.9,4,4.3,4.7,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,,3.4,3.5,3.4,3.6,3.9,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,,2.5,2.6,2.9,2.9,3,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,,2,1.9,1.9,2.1,2.5,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,,4,4,3.8,3.7,3.8,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,,531,512,483,478,434,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,,652,640,645,596,567,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,,587,597,609,624,619,
ERP_P_5,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (no.),,,,507,531,546,564,556,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,,515,528,530,520,468,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,,409,401,381,360,339,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,,428,428,444,429,399,
ERP_P_9,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (no.),,,,527,522,506,502,480,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,,641,646,601,584,580,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,,690,689,714,710,626,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,,577,595,627,635,619,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,,526,517,528,541,547,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,,418,434,454,483,467,
ERP_P_15,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (no.),,,,323,339,348,372,388,
ERP_P_16,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (no.),,,,258,275,278,289,298,
ERP_P_17,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (no.),,,,200,202,211,217,226,
ERP_P_18,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (no.),,,,150,149,153,165,182,
ERP_P_19,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (no.),,,,236,240,234,232,230,
ERP_P_21,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (%),,,,6.5,6.2,5.8,5.8,5.4,
ERP_P_22,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (%),,,,8,7.8,7.8,7.2,7.1,
ERP_P_23,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (%),,,,7.2,7.2,7.3,7.5,7.7,
ERP_P_24,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (%),,,,6.2,6.4,6.6,6.8,6.9,
ERP_P_25,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (%),,,,6.3,6.4,6.4,6.3,5.8,
ERP_P_26,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (%),,,,5,4.9,4.6,4.3,4.2,
ERP_P_27,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (%),,,,5.2,5.2,5.4,5.2,5,
ERP_P_28,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (%),,,,6.4,6.3,6.1,6,6,
ERP_P_29,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (%),,,,7.8,7.8,7.2,7,7.2,
ERP_P_30,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (%),,,,8.4,8.4,8.6,8.6,7.8,
ERP_P_31,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (%),,,,7.1,7.2,7.6,7.6,7.7,
ERP_P_32,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (%),,,,6.4,6.3,6.4,6.5,6.8,
ERP_P_33,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (%),,,,5.1,5.3,5.5,5.8,5.8,
ERP_P_34,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (%),,,,4,4.1,4.2,4.5,4.8,
ERP_P_35,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (%),,,,3.2,3.3,3.4,3.5,3.7,
ERP_P_36,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (%),,,,2.4,2.4,2.5,2.6,2.8,
ERP_P_37,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (%),,,,1.8,1.8,1.8,2,2.3,
ERP_P_38,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (%),,,,2.9,2.9,2.8,2.8,2.9,
BD_2,Births and deaths - year ended 31 December,Births (no.),,,98,78,85,73,73,65,
BD_3,Births and deaths - year ended 31 December,Total fertility rate (births per female) (rate),,,1.97,1.78,1.78,1.61,1.6,1.51,
BD_4,Births and deaths - year ended 31 December,Deaths (no.),,,66,72,71,58,62,72,
BD_5,Births and deaths - year ended 31 December,Standardised death rate (per 1000 people) (rate),,,4.6,5.1,5.6,5.6,5.3,5.2,
MIGRATION_2,Internal and overseas migration - at 30 June,Internal arrivals (no.),,,,,,,,,759
MIGRATION_3,Internal and overseas migration - at 30 June,Internal departures (no.),,,,,,,,,893
MIGRATION_4,Internal and overseas migration - at 30 June,Net internal migration (no.),,,,,,,,,-134
MIGRATION_5,Internal and overseas migration - at 30 June,Overseas arrivals (no.),,,,,,,,,143
MIGRATION_6,Internal and overseas migration - at 30 June,Overseas departures (no.),,,,,,,,,85
MIGRATION_7,Internal and overseas migration - at 30 June,Net overseas migration (no.),,,,,,,,,58
CENSUS_34,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (no.),20,,23,,,,,35,
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (%),0.3,,0.3,,,,,0.4,
CENSUS_4,Overseas born population - Census,Born in Oceania and Antarctica (excluding Australia) (%),,,1.8,,,,,1.6,
CENSUS_5,Overseas born population - Census,Born in North-West Europe (%),,,4.7,,,,,4.6,
CENSUS_6,Overseas born population - Census,Born in Southern and Eastern Europe (%),,,2.6,,,,,2.5,
CENSUS_7,Overseas born population - Census,Born in North Africa and the Middle East (%),,,1.6,,,,,1.4,
CENSUS_8,Overseas born population - Census,Born in South-East Asia (%),,,3.4,,,,,4.3,
CENSUS_9,Overseas born population - Census,Born in North-East Asia (%),,,6.4,,,,,7.6,
CENSUS_10,Overseas born population - Census,Born in Southern and Central Asia (%),,,3.2,,,,,3.5,
CENSUS_11,Overseas born population - Census,Born in Americas (%),,,1.3,,,,,1.5,
CENSUS_12,Overseas born population - Census,Born in Sub-Saharan Africa (%),,,1.1,,,,,1,
CENSUS_35,Overseas born population - Census,Total born overseas (no.),,,2027,,,,,2226,
CENSUS_13,Overseas born population - Census,Total born overseas (%),,,26.1,,,,,28,
CENSUS_15,Religious affiliation - Census,Buddhism (%),2.7,,2.5,,,,,2.9,
CENSUS_16,Religious affiliation - Census,Christianity (%),57,,48.7,,,,,41.8,
CENSUS_17,Religious affiliation - Census,Hinduism (%),1.7,,1.6,,,,,1.9,
CENSUS_18,Religious affiliation - Census,Islam (%),1.1,,1,,,,,1.2,
CENSUS_19,Religious affiliation - Census,Judaism (%),0.9,,0.6,,,,,0.6,
CENSUS_20,Religious affiliation - Census,Other religions (%),0.6,,0.4,,,,,0.4,
CENSUS_40,Religious affiliation - Census,"Secular beliefs, other spiritual beliefs or no religion (%)",28.5,,38,,,,,46,
CENSUS_22,Religious affiliation - Census,Religious affiliation inadequately described or not stated (%),7.6,,7,,,,,5.4,
CENSUS_36,Australian citizenship - Census,Australian citizen (no.),6599,,6647,,,,,7017,
CENSUS_37,Australian citizenship - Census,Not an Australian citizen (no.),648,,729,,,,,731,
CENSUS_38,Australian citizenship - Census,Australian citizenship not stated (no.),236,,375,,,,,203,
CENSUS_29,Australian citizenship - Census,Australian citizen (%),88.1,,85.7,,,,,88.2,
CENSUS_30,Australian citizenship - Census,Not an Australian citizen (%),8.6,,9.4,,,,,9.2,
CENSUS_31,Australian citizenship - Census,Australian citizenship not stated (%),3.1,,4.8,,,,,2.6,
CENSUS_39,Speaks a language other than English at home - Census,Speaks a language other than English at home (no.),1503,,1660,,,,,1806,
CENSUS_33,Speaks a language other than English at home - Census,Speaks a language other than English at home (%),20.1,,21.4,,,,,22.7,
ADFS_2,Australian Defence Force service - Persons aged 15 years and over - Census,Currently serving in the Australian Defence Force (no.),,,,,,,,8,
ADFS_3,Australian Defence Force service - Persons aged 15 years and over - Census,Previously served in the Australian Defence Force (no.),,,,,,,,115,
ADFS_4,Australian Defence Force service - Persons aged 15 years and over - Census,Currently serving in the Australian Defence Force (%),,,,,,,,0.1,
ADFS_5,Australian Defence Force service - Persons aged 15 years and over - Census,Previously served in the Australian Defence Force (%),,,,,,,,1.8,
ING_LANG1,Language - Census,Speakers of an Aboriginal or Torres Strait Islander language who identify as Aboriginal and/or Torres Strait Islander (%),0,,0,,,,,0,
ING_LANG2,Language - Census,Speaks English at home (%),100,,100,,,,,100,
ING_EETP1,"Engagement in employment, education or training - Census",Fully engaged (%),50,,81.8,,,,,,
ING_EETP2,"Engagement in employment, education or training - Census",Partially or at least partially engaged (%),0,,0,,,,,,
ING_EETP3,"Engagement in employment, education or training - Census",Not engaged (%),75,,63.6,,,,,,
ING_YR12ATT,Education - Census,Attained year 12 or equivalent or Certificate III or above (aged 20-24 years) (%),0,,0,,,,,,
ING_EMP1,Labour force status - Census,Employed (no.),6,,8,,,,,,
ING_EMP2,Labour force status - Census,% of total labour force employed,85.7,,100,,,,,,
ING_UNEMP1,Labour force status - Census,Unemployed (no.),0,,0,,,,,,
ING_UNEMP2,Labour force status - Census,% of total labour force unemployed,0,,0,,,,,,
ING_LABF,Labour force status - Census,In the labour force (no.),7,,8,,,,,,
ING_LFPR,Labour force status - Census,Labour force participation rate (%),58.3,,100,,,,,,
ING_NILF,Labour force status - Census,Not in the labour force (%),66.7,,50,,,,,,
ING_1564,Labour force status - Census,Total responding population aged 15-64 years (no.),12,,8,,,,,,
ING_EMP3,Labour force status - Census,% of total Census responding population employed,50,,100,,,,,,
ING_UA1,Unpaid assistance to a person with a disability - Census,Provided unpaid assistance (no.),3,,3,,,,,0,
ING_UA2,Unpaid assistance to a person with a disability - Census,Provided unpaid assistance (%),15.8,,25,,,,,0,
ING_UPCC1,Unpaid child care - Census,Cared for own child/children (no.),3,,6,,,,,6,
ING_UPCC2,Unpaid child care - Census,Cared for own child/children (%),15.8,,50,,,,,26.1,
ING_UPCC3,Unpaid child care - Census,Cared for other child/children (no.),0,,4,,,,,0,
