Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,19757,19966,20244,20302,19790,20041
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2944.9,2976.1,3017.5,3026.2,2949.9,2987.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,9863,10030,10253,10290,9882,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,9894,9936,9991,10012,9908,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,33.8,33.7,33.8,34.3,35,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,36.4,36.6,36.9,37.5,38.3,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,35,35.1,35.3,35.8,36.5,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,13590,13705,13937,13942,13495,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,68.8,68.6,68.8,68.7,68.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,668,656,638,597,563,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,611,620,611,631,583,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,520,549,587,577,568,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,478,502,528,536,519,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,910,919,922,881,775,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,1043,1031,1033,1031,983,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,930,962,1020,1039,957,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,770,801,810,828,849,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,651,634,662,661,639,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,627,656,659,643,601,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,541,536,543,582,575,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,479,496,523,531,526,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,420,420,432,441,433,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,351,346,353,361,360,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,269,291,304,309,312,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,225,235,227,239,240,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,195,188,194,183,183,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,175,188,207,220,216,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.8,6.5,6.2,5.8,5.7,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.2,6.2,6,6.1,5.9,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,5.3,5.5,5.7,5.6,5.7,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,4.8,5,5.1,5.2,5.3,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,9.2,9.2,9,8.6,7.8,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,10.6,10.3,10.1,10,9.9,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,9.4,9.6,9.9,10.1,9.7,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,7.8,8,7.9,8,8.6,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,6.6,6.3,6.5,6.4,6.5,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,6.4,6.5,6.4,6.2,6.1,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,5.5,5.3,5.3,5.7,5.8,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,4.9,4.9,5.1,5.2,5.3,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,4.3,4.2,4.2,4.3,4.4,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,3.6,3.4,3.4,3.5,3.6,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,2.7,2.9,3,3,3.2,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,2.3,2.3,2.2,2.3,2.4,
