Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,9395,9372,9319,9179,8927,8910
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1770.2,1765.9,1755.9,1729.5,1682,1678.8
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,4677,4673,4650,4590,4475,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,4718,4699,4669,4589,4452,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,37.4,37.9,38.5,39.4,40.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,40.7,41.2,41.9,42.9,43.7,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,39.1,39.6,40.3,41.2,42.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,6409,6364,6313,6171,5928,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,68.2,67.9,67.7,67.2,66.4,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,288,284,280,262,219,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,341,331,316,317,318,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,358,365,365,347,354,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,412,392,378,375,352,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,365,378,391,385,366,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,237,236,234,225,208,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,210,198,186,173,162,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,276,267,259,241,218,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,330,311,294,290,290,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,429,414,386,364,343,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,367,387,398,386,393,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,307,325,336,366,355,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,246,242,251,238,250,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,161,168,185,205,217,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,144,146,153,158,146,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,92,102,103,115,128,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,69,70,75,69,81,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,45,57,60,74,75,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.2,6.1,6,5.7,4.9,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,7.3,7.1,6.8,6.9,7.1,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,7.7,7.8,7.8,7.6,7.9,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,8.8,8.4,8.1,8.2,7.9,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,7.8,8.1,8.4,8.4,8.2,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,5.1,5.1,5,4.9,4.6,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,4.5,4.2,4,3.8,3.6,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,5.9,5.7,5.6,5.3,4.9,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,7.1,6.7,6.3,6.3,6.5,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,9.2,8.9,8.3,7.9,7.7,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,7.8,8.3,8.6,8.4,8.8,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,6.6,7,7.2,8,7.9,
