Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,21764,22471,23329,24220,25045,25595
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,110.9,114.5,118.8,123.4,127.6,130.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,10711,11056,11468,11886,12271,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,11053,11415,11861,12334,12774,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,35.7,35.4,35,35.3,35.9,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,37.9,37.6,37.5,37.7,38.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,36.8,36.6,36.3,36.5,37,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,13962,14392,14919,15433,15803,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,64.2,64,64,63.7,63.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,785,760,782,827,870,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,868,929,948,939,956,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,725,751,800,869,931,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,707,712,713,696,702,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,726,771,805,787,711,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,722,765,844,881,872,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,723,776,840,887,925,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,730,760,791,869,919,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,679,690,699,727,802,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,797,782,780,778,747,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,613,656,680,706,787,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,634,633,641,660,677,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,551,542,544,579,589,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,573,558,557,559,569,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,381,448,477,515,553,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,248,256,280,308,344,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,134,152,167,167,172,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,115,115,120,132,145,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,7.3,6.9,6.8,7,7.1,
