Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,16914,17072,17144,17015,16332,16293
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,3028.4,3056.7,3069.6,3046.5,2924.2,2917.2
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,8019,8131,8182,8091,7624,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,8895,8941,8962,8924,8708,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,40.9,41.9,42.5,42.7,41.3,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,44.3,44.5,44.8,45,44.8,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,42.8,43.4,43.7,43.9,43.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,10821,10864,10831,10699,10182,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,64,63.6,63.2,62.9,62.3,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,348,340,330,310,285,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,442,450,454,460,469,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,539,550,562,561,573,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,695,665,640,615,593,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,659,631,623,611,562,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,501,496,490,474,440,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,380,378,369,360,362,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,360,385,402,409,412,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,451,459,460,469,479,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,558,538,526,505,512,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,586,594,602,587,521,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,571,602,604,563,495,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,478,531,552,582,455,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,425,429,438,443,422,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,396,445,487,471,354,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,238,246,250,274,285,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,171,183,192,194,191,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,221,209,201,203,214,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,4.3,4.2,4,3.8,3.7,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,5.5,5.5,5.5,5.7,6.2,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,6.7,6.8,6.9,6.9,7.5,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,8.7,8.2,7.8,7.6,7.8,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,8.2,7.8,7.6,7.6,7.4,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,6.2,6.1,6,5.9,5.8,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,4.7,4.6,4.5,4.4,4.7,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,4.5,4.7,4.9,5.1,5.4,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,5.6,5.6,5.6,5.8,6.3,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,7,6.6,6.4,6.2,6.7,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,7.3,7.3,7.4,7.3,6.8,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,7.1,7.4,7.4,7,6.5,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,6,6.5,6.7,7.2,6,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,5.3,5.3,5.4,5.5,5.5,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,4.9,5.5,6,5.8,4.6,
