Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,12310,12382,12411,12316,11968,11833
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1242.3,1249.6,1252.5,1242.9,1207.8,1194.2
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,6087,6133,6157,6094,5865,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,6223,6249,6254,6222,6103,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,35.4,35.9,36.4,37.1,37.5,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,37.8,38.1,38.5,39.3,39.8,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,36.6,37,37.4,38.1,38.7,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,8463,8497,8494,8344,8025,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,68.7,68.6,68.4,67.7,67.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,465,456,436,393,357,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,391,408,402,405,390,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,358,361,386,402,385,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,420,413,402,381,367,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,445,416,420,406,396,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,428,445,424,423,405,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,493,459,470,430,402,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,434,492,495,503,471,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,431,408,415,412,395,
