Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,14269,14423,14391,14343,14124,14015
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2391,2416.8,2411.4,2403.4,2366.7,2348.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,6858,6935,6919,6898,6794,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,7411,7488,7472,7445,7330,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,45.3,45.6,45.9,46.5,47.3,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,45.8,46.3,46.7,47.3,47.9,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,45.5,46,46.3,46.9,47.6,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,8695,8744,8725,8654,8464,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,60.9,60.6,60.6,60.3,59.9,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,318,308,289,274,253,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,473,464,453,440,427,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,551,582,595,589,586,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,495,503,517,544,545,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,427,443,453,445,415,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,241,236,230,222,203,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,191,203,193,173,157,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,262,257,259,264,238,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,434,402,384,351,360,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,590,606,593,584,542,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,542,559,560,591,611,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,540,536,541,544,545,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,489,489,485,473,494,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,382,389,383,399,405,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,358,373,390,389,381,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,223,231,250,279,296,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,157,167,173,166,180,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,185,187,171,171,156,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,4.6,4.4,4.2,4,3.7,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.9,6.7,6.5,6.4,6.3,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,8,8.4,8.6,8.5,8.6,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,7.2,7.3,7.5,7.9,8,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,6.2,6.4,6.5,6.5,6.1,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,3.5,3.4,3.3,3.2,3,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,2.8,2.9,2.8,2.5,2.3,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,3.8,3.7,3.7,3.8,3.5,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,6.3,5.8,5.5,5.1,5.3,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,8.6,8.7,8.6,8.5,8,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,7.9,8.1,8.1,8.6,9,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,7.9,7.7,7.8,7.9,8,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,7.1,7.1,7,6.9,7.3,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,5.6,5.6,5.5,5.8,6,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,5.2,5.4,5.6,5.6,5.6,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,3.3,3.3,3.6,4,4.4,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,2.3,2.4,2.5,2.4,2.6,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,2.7,2.7,2.5,2.5,2.3,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,311,294,290,274,258,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,506,499,472,449,430,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,563,586,587,602,617,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,459,479,507,526,528,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,442,435,418,391,349,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,234,231,233,220,209,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,216,231,222,212,204,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,350,342,339,327,305,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,526,480,463,453,447,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,668,680,657,633,597,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,570,581,598,631,673,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,547,544,546,554,541,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,472,507,527,516,501,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,,448,463,441,444,445,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,,363,385,410,442,440,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,250,266,281,302,319,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,208,212,216,208,208,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,278,273,265,261,259,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,,4.2,3.9,3.9,3.7,3.5,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,,6.8,6.7,6.3,6,5.9,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,7.6,7.8,7.9,8.1,8.4,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,,6.2,6.4,6.8,7.1,7.2,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,6,5.8,5.6,5.3,4.8,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,3.2,3.1,3.1,3,2.9,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,,2.9,3.1,3,2.8,2.8,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,,4.7,4.6,4.5,4.4,4.2,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,,7.1,6.4,6.2,6.1,6.1,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,,9,9.1,8.8,8.5,8.1,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,,7.7,7.8,8,8.5,9.2,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,,7.4,7.3,7.3,7.4,7.4,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,,6.4,6.8,7.1,6.9,6.8,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,,6,6.2,5.9,6,6.1,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,,4.9,5.1,5.5,5.9,6,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,,3.4,3.6,3.8,4.1,4.4,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,,2.8,2.8,2.9,2.8,2.8,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,,3.8,3.6,3.5,3.5,3.5,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,,629,602,579,548,511,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,,979,963,925,889,857,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,,1114,1168,1182,1191,1203,
ERP_P_5,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (no.),,,,954,982,1024,1070,1073,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,,869,878,871,836,764,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,,475,467,463,442,412,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,,407,434,415,385,361,
ERP_P_9,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (no.),,,,612,599,598,591,543,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,,960,882,847,804,807,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,,1258,1286,1250,1217,1139,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,,1112,1140,1158,1222,1284,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,,1087,1080,1087,1098,1086,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,,961,996,1012,989,995,
ERP_P_15,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (no.),,,,830,852,824,843,850,
ERP_P_16,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (no.),,,,721,758,800,831,821,
ERP_P_17,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (no.),,,,473,497,531,581,615,
ERP_P_18,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (no.),,,,365,379,389,374,388,
ERP_P_19,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (no.),,,,463,460,436,432,415,
ERP_P_21,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (%),,,,4.4,4.2,4,3.8,3.6,
ERP_P_22,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (%),,,,6.9,6.7,6.4,6.2,6.1,
ERP_P_23,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (%),,,,7.8,8.1,8.2,8.3,8.5,
ERP_P_24,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (%),,,,6.7,6.8,7.1,7.5,7.6,
ERP_P_25,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (%),,,,6.1,6.1,6.1,5.8,5.4,
ERP_P_26,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (%),,,,3.3,3.2,3.2,3.1,2.9,
ERP_P_27,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (%),,,,2.9,3,2.9,2.7,2.6,
ERP_P_28,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (%),,,,4.3,4.2,4.2,4.1,3.8,
ERP_P_29,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (%),,,,6.7,6.1,5.9,5.6,5.7,
ERP_P_30,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (%),,,,8.8,8.9,8.7,8.5,8.1,
ERP_P_31,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (%),,,,7.8,7.9,8,8.5,9.1,
ERP_P_32,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (%),,,,7.6,7.5,7.6,7.7,7.7,
ERP_P_33,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (%),,,,6.7,6.9,7,6.9,7,
ERP_P_34,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (%),,,,5.8,5.9,5.7,5.9,6,
ERP_P_35,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (%),,,,5.1,5.3,5.6,5.8,5.8,
ERP_P_36,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (%),,,,3.3,3.4,3.7,4.1,4.4,
ERP_P_37,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (%),,,,2.6,2.6,2.7,2.6,2.7,
ERP_P_38,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (%),,,,3.2,3.2,3,3,2.9,
BD_2,Births and deaths - year ended 31 December,Births (no.),,,90,84,96,81,69,60,
BD_3,Births and deaths - year ended 31 December,Total fertility rate (births per female) (rate),,,1.58,1.54,1.58,1.53,1.46,1.33,
BD_4,Births and deaths - year ended 31 December,Deaths (no.),,,56,68,44,68,69,81,
BD_5,Births and deaths - year ended 31 December,Standardised death rate (per 1000 people) (rate),,,3,2.8,2.3,2.6,2.6,3,
MIGRATION_2,Internal and overseas migration - at 30 June,Internal arrivals (no.),,,,,,,,,1172
MIGRATION_3,Internal and overseas migration - at 30 June,Internal departures (no.),,,,,,,,,1341
MIGRATION_4,Internal and overseas migration - at 30 June,Net internal migration (no.),,,,,,,,,-169
MIGRATION_5,Internal and overseas migration - at 30 June,Overseas arrivals (no.),,,,,,,,,192
MIGRATION_6,Internal and overseas migration - at 30 June,Overseas departures (no.),,,,,,,,,116
MIGRATION_7,Internal and overseas migration - at 30 June,Net overseas migration (no.),,,,,,,,,76
CENSUS_34,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (no.),15,,16,,,,,29,
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (%),0.1,,0.1,,,,,0.2,
CENSUS_4,Overseas born population - Census,Born in Oceania and Antarctica (excluding Australia) (%),,,1.9,,,,,1.7,
CENSUS_5,Overseas born population - Census,Born in North-West Europe (%),,,10.9,,,,,10.9,
CENSUS_6,Overseas born population - Census,Born in Southern and Eastern Europe (%),,,2.3,,,,,2.5,
CENSUS_7,Overseas born population - Census,Born in North Africa and the Middle East (%),,,0.6,,,,,0.7,
CENSUS_8,Overseas born population - Census,Born in South-East Asia (%),,,0.9,,,,,1.3,
CENSUS_9,Overseas born population - Census,Born in North-East Asia (%),,,1.5,,,,,1.8,
CENSUS_10,Overseas born population - Census,Born in Southern and Central Asia (%),,,0.6,,,,,0.8,
CENSUS_11,Overseas born population - Census,Born in Americas (%),,,1.7,,,,,1.6,
CENSUS_12,Overseas born population - Census,Born in Sub-Saharan Africa (%),,,1.7,,,,,2.2,
CENSUS_35,Overseas born population - Census,Total born overseas (no.),,,3010,,,,,3302,
CENSUS_13,Overseas born population - Census,Total born overseas (%),,,22.3,,,,,23.6,
CENSUS_15,Religious affiliation - Census,Buddhism (%),1,,0.9,,,,,0.9,
CENSUS_16,Religious affiliation - Census,Christianity (%),63.5,,53.2,,,,,47.3,
CENSUS_17,Religious affiliation - Census,Hinduism (%),0.2,,0.2,,,,,0.4,
CENSUS_18,Religious affiliation - Census,Islam (%),0.3,,0.3,,,,,0.5,
CENSUS_19,Religious affiliation - Census,Judaism (%),0.7,,0.4,,,,,0.6,
CENSUS_20,Religious affiliation - Census,Other religions (%),0.3,,0.2,,,,,0.2,
CENSUS_40,Religious affiliation - Census,"Secular beliefs, other spiritual beliefs or no religion (%)",27.5,,36.2,,,,,45.9,
CENSUS_22,Religious affiliation - Census,Religious affiliation inadequately described or not stated (%),6.6,,8.5,,,,,4.3,
CENSUS_36,Australian citizenship - Census,Australian citizen (no.),11479,,11786,,,,,12705,
CENSUS_37,Australian citizenship - Census,Not an Australian citizen (no.),972,,932,,,,,984,
CENSUS_38,Australian citizenship - Census,Australian citizenship not stated (no.),383,,757,,,,,330,
CENSUS_29,Australian citizenship - Census,Australian citizen (%),89.4,,87.5,,,,,90.6,
CENSUS_30,Australian citizenship - Census,Not an Australian citizen (%),7.6,,6.9,,,,,7,
CENSUS_31,Australian citizenship - Census,Australian citizenship not stated (%),3,,5.6,,,,,2.4,
