Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,15707,15973,16393,16790,16756,16871
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,3415.4,3473.2,3564.5,3650.9,3643.5,3668.5
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,7736,7858,8046,8216,8191,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,7971,8115,8347,8574,8565,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,37.4,37.1,36.7,36.9,37.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,39.9,39.8,39.7,39.8,40.4,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,38.7,38.6,38.4,38.6,39.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,10087,10261,10560,10851,10863,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,64.2,64.2,64.4,64.6,64.8,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,526,515,518,488,454,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,659,657,646,676,668,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,622,673,723,748,762,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,506,521,566,597,589,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,486,500,511,504,472,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,403,421,450,425,405,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,421,429,435,464,442,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,553,556,558,567,569,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,631,644,668,689,677,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,638,654,652,675,695,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,523,514,536,549,592,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,438,440,452,467,473,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,343,360,369,388,394,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,271,271,269,279,298,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,222,222,219,237,248,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,169,168,176,160,161,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,152,143,136,144,141,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,173,170,162,159,151,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.8,6.6,6.4,5.9,5.5,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,8.5,8.4,8,8.2,8.2,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,8,8.6,9,9.1,9.3,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,6.5,6.6,7,7.3,7.2,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,6.3,6.4,6.4,6.1,5.8,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,5.2,5.4,5.6,5.2,4.9,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,5.4,5.5,5.4,5.6,5.4,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,7.1,7.1,6.9,6.9,6.9,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,8.2,8.2,8.3,8.4,8.3,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,8.2,8.3,8.1,8.2,8.5,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,6.8,6.5,6.7,6.7,7.2,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,5.7,5.6,5.6,5.7,5.8,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,4.4,4.6,4.6,4.7,4.8,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,3.5,3.4,3.3,3.4,3.6,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,2.9,2.8,2.7,2.9,3,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,2.2,2.1,2.2,1.9,2,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,2,1.8,1.7,1.8,1.7,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,2.2,2.2,2,1.9,1.8,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,501,499,510,481,456,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,566,591,603,646,596,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,573,604,651,681,691,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,505,523,546,567,584,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,399,393,382,411,427,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,391,402,413,386,354,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,478,459,476,489,457,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,591,613,634,653,665,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,710,722,739,760,748,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,706,722,738,759,768,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,514,527,561,592,631,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,486,476,470,481,478,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,365,385,404,428,443,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,,321,326,330,346,354,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,,249,260,291,288,290,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,215,206,194,208,218,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,171,176,178,175,179,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,230,231,227,223,226,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,,6.3,6.1,6.1,5.6,5.3,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,,7.1,7.3,7.2,7.5,7,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,7.2,7.4,7.8,7.9,8.1,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,,6.3,6.4,6.5,6.6,6.8,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,5,4.8,4.6,4.8,5,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,4.9,5,4.9,4.5,4.1,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,,6,5.7,5.7,5.7,5.3,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,,7.4,7.6,7.6,7.6,7.8,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,,8.9,8.9,8.9,8.9,8.7,
