Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,54,47,41,34,28,28
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,5.9,5.2,4.5,3.7,3.1,3.1
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,26,24,22,21,19,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,28,23,19,13,9,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,22.5,23.5,27.5,27.5,57.5,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,13.6,14.6,15.6,16.6,42.5,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,15,16.3,17.7,25,53.5,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,29,25,37,32,24,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,53.7,53.2,90.2,94.1,85.7,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,5,4,,,,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,4,4,6,6,,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,6,6,4,1,,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,1,1,3,5,,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,,,,1,5,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,4,3,1,1,,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,1,1,2,2,1,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,,,,,3,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,1,2,3,3,6,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,4,3,2,1,2,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,,,1,1,1,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,,,,,1,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,19.2,16.7,,,,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,15.4,16.7,27.3,28.6,,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,23.1,25,18.2,4.8,,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,3.8,4.2,13.6,23.8,,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,,,,4.8,26.3,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,15.4,12.5,4.5,4.8,,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,3.8,4.2,9.1,9.5,5.3,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,,,,,15.8,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,3.8,8.3,13.6,14.3,31.6,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,15.4,12.5,9.1,4.8,10.5,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,,,4.5,4.8,5.3,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,,,,,5.3,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,20,17,2,,,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,,,13,10,,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,1,,,,3,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,2,2,,,1,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,,,1,,,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,4,,,,,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,,3,2,2,2,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,,,,,1,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,1,,,,,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,,1,1,,,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,,,,1,2,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,71.4,73.9,10.5,,,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,,,,68.4,76.9,,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,3.6,,,,33.3,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,,7.1,8.7,,,11.1,
