Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,9499,9680,9772,9880,9939,9958
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,888.3,905.3,913.9,924,929.5,931.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,4681,4774,4822,4877,4905,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,4818,4906,4950,5003,5034,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,31.1,31.3,31.5,32,32.5,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,31.8,31.9,32,32.6,33.2,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,31.4,31.6,31.8,32.3,32.9,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,6065,6141,6151,6194,6174,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,63.8,63.4,62.9,62.7,62.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,503,494,474,451,438,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,406,423,438,469,504,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,341,347,372,355,366,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,319,337,321,332,321,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,305,304,313,319,310,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,377,377,376,354,295,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,404,425,421,423,435,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,412,413,407,426,412,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,317,324,337,332,355,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,255,265,281,296,309,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,219,231,234,233,230,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,195,183,186,197,228,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,186,186,182,185,176,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,175,174,177,192,186,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,104,122,123,128,148,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,72,71,81,89,89,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,54,57,55,51,58,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,37,41,44,45,45,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,10.7,10.3,9.8,9.2,8.9,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,8.7,8.9,9.1,9.6,10.3,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,7.3,7.3,7.7,7.3,7.5,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,6.8,7.1,6.7,6.8,6.5,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,6.5,6.4,6.5,6.5,6.3,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,8.1,7.9,7.8,7.3,6,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,8.6,8.9,8.7,8.7,8.9,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,8.8,8.7,8.4,8.7,8.4,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,6.8,6.8,7,6.8,7.2,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,5.4,5.6,5.8,6.1,6.3,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,4.7,4.8,4.9,4.8,4.7,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,4.2,3.8,3.9,4,4.6,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,4,3.9,3.8,3.8,3.6,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,3.7,3.6,3.7,3.9,3.8,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,2.2,2.6,2.6,2.6,3,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,1.5,1.5,1.7,1.8,1.8,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,1.2,1.2,1.1,1,1.2,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,0.8,0.9,0.9,0.9,0.9,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,474,471,462,449,430,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,458,455,445,456,468,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,304,349,385,403,421,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,289,293,302,317,323,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,338,338,324,305,283,
