Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,13725,13923,14016,14116,13091,13239
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,5697.1,5779.3,5817.9,5859.4,5434,5495.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,6793,6925,6987,7058,6362,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,6932,6998,7029,7058,6729,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,33.3,33.4,33.5,34,34.3,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,33.7,33.8,33.9,34.3,34.4,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,33.5,33.6,33.7,34.1,34.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,10569,10758,10864,10971,10175,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,77,77.3,77.5,77.7,77.7,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,396,367,317,292,269,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,310,370,421,441,248,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,170,179,183,197,223,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,212,211,210,204,189,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,688,693,692,663,584,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,1019,1002,988,956,860,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,891,907,922,941,917,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,690,704,717,731,720,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,489,486,473,484,458,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,437,466,503,495,378,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,300,331,358,387,360,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,319,336,331,374,263,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,224,232,247,262,268,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,187,185,178,169,177,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,142,136,133,153,150,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,131,134,133,128,113,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,106,99,94,97,106,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,82,87,87,84,79,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,5.8,5.3,4.5,4.1,4.2,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,4.6,5.3,6,6.2,3.9,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,2.5,2.6,2.6,2.8,3.5,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,3.1,3,3,2.9,3,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,10.1,10,9.9,9.4,9.2,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,15,14.5,14.1,13.5,13.5,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,13.1,13.1,13.2,13.3,14.4,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,10.2,10.2,10.3,10.4,11.3,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,7.2,7,6.8,6.9,7.2,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,6.4,6.7,7.2,7,5.9,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,4.4,4.8,5.1,5.5,5.7,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,4.7,4.9,4.7,5.3,4.1,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,3.3,3.4,3.5,3.7,4.2,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,2.8,2.7,2.5,2.4,2.8,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,2.1,2,1.9,2.2,2.4,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,1.9,1.9,1.9,1.8,1.8,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,1.6,1.4,1.3,1.4,1.7,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,1.2,1.3,1.2,1.2,1.2,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,337,321,306,280,254,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,270,270,260,246,214,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,196,202,210,215,229,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,223,218,207,196,175,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,760,768,768,749,692,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,1018,1032,1051,1056,1011,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,854,863,870,883,876,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,628,636,640,652,650,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,492,483,474,474,468,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,400,428,425,431,398,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,362,362,350,350,335,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,310,322,360,394,283,
