Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,12149,12382,12588,13045,12963,13258
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,5603.3,5710.7,5805.7,6016.5,5978.7,6114.7
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,5761,5858,5944,6134,6094,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,6388,6524,6644,6911,6869,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,32.7,32.8,32.9,33.2,33.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,32.6,32.7,32.8,33.1,33.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,32.7,32.8,32.8,33.1,33.6,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,9724,9976,10216,10654,10604,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,80,80.6,81.2,81.7,81.8,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,289,284,270,259,239,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,202,190,185,195,210,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,172,183,191,191,186,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,186,188,187,186,184,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,525,527,525,509,458,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,972,979,991,1006,957,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,953,996,1040,1098,1100,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,623,647,666,706,722,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,424,428,424,441,462,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,333,352,367,377,381,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,246,247,254,281,302,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,207,205,207,218,231,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,142,149,163,180,183,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,156,151,146,142,137,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,113,116,105,112,111,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,85,74,82,91,94,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,79,85,80,67,64,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,54,57,61,75,73,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,5,4.8,4.5,4.2,3.9,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,3.5,3.2,3.1,3.2,3.4,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,3,3.1,3.2,3.1,3.1,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,3.2,3.2,3.1,3,3,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,9.1,9,8.8,8.3,7.5,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,16.9,16.7,16.7,16.4,15.7,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,16.5,17,17.5,17.9,18.1,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,10.8,11,11.2,11.5,11.8,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,7.4,7.3,7.1,7.2,7.6,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,5.8,6,6.2,6.1,6.3,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,4.3,4.2,4.3,4.6,5,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,3.6,3.5,3.5,3.6,3.8,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,2.5,2.5,2.7,2.9,3,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,2.7,2.6,2.5,2.3,2.2,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,2,2,1.8,1.8,1.8,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,1.5,1.3,1.4,1.5,1.5,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,1.4,1.5,1.3,1.1,1.1,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,0.9,1,1,1.2,1.2,
