Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,14549,14685,14840,14991,14499,14649
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,4575.9,4618.7,4667.4,4714.9,4560.2,4607.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,7038,7097,7160,7213,6920,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,7511,7588,7680,7778,7579,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,33.7,34,34.2,34.8,34.7,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,33.9,33.9,33.9,34.2,34.9,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,33.8,33.9,34.1,34.5,34.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,10855,11011,11167,11314,10908,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,74.6,75,75.2,75.5,75.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,403,383,366,352,350,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,349,340,323,307,305,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,249,268,288,307,263,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,261,257,261,254,246,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,612,622,629,611,573,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,979,964,958,933,885,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,851,864,873,879,888,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,657,666,674,683,695,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,486,502,498,474,497,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,455,459,458,504,428,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,359,389,410,448,409,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,319,334,366,394,335,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,294,284,303,318,284,
