Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,11580,11622,11615,11642,11371,11421
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1735.8,1742.1,1741.1,1745.1,1704.5,1712
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,5717,5752,5745,5771,5558,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,5863,5870,5870,5871,5813,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,42.4,42.5,42.4,42.9,43.5,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,45.6,45.8,46,46.4,47,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,44.1,44.3,44.3,44.7,45.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,7140,7194,7232,7220,7016,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,61.7,61.9,62.3,62,61.7,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,284,278,260,261,271,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,309,311,319,317,297,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,325,326,306,304,293,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,324,300,323,331,331,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,389,407,407,387,376,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,382,386,387,355,308,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,330,349,356,383,349,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,360,350,343,339,319,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,339,339,335,342,333,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,412,406,378,368,341,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,386,379,394,401,428,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,371,402,405,415,391,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,283,301,311,330,321,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,236,229,240,255,250,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,262,254,244,241,232,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,297,290,279,256,249,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,235,237,240,260,239,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,193,208,218,226,230,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,5,4.8,4.5,4.5,4.9,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,5.4,5.4,5.6,5.5,5.3,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,5.7,5.7,5.3,5.3,5.3,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,5.7,5.2,5.6,5.7,6,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,6.8,7.1,7.1,6.7,6.8,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,6.7,6.7,6.7,6.2,5.5,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,5.8,6.1,6.2,6.6,6.3,
