Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,5176,5395,5542,5733,5855,6007
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2028.2,2114,2171.6,2246.5,2294.3,2353.8
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,2504,2627,2712,2823,2889,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,2672,2768,2830,2910,2966,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,36.4,35.9,35.5,36,36.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,37.2,36.7,36.7,37,37.8,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,36.9,36.3,36.1,36.5,37.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,3296,3442,3543,3665,3726,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,63.7,63.8,63.9,63.9,63.6,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,192,189,184,181,177,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,179,195,211,228,231,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,184,191,191,190,196,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,161,168,179,196,201,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,176,195,202,193,185,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,157,169,178,178,171,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,165,179,192,214,212,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,182,181,180,177,189,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,169,180,194,211,230,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,188,191,183,173,178,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,162,162,167,180,178,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,151,151,153,163,164,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,119,123,129,136,153,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,85,96,95,104,108,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,68,80,88,94,95,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,56,54,55,63,68,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,43,50,52,51,56,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,67,73,79,91,97,
