Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,19281,19541,19673,19659,18803,18908
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,5067.9,5136.3,5171,5167.3,4942.3,4969.9
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,9328,9485,9565,9556,9167,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,9953,10056,10108,10103,9636,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,34.2,34.3,34.5,35,35.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,34.4,35.4,36.2,37.2,36.4,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,34.3,34.9,35.4,36.1,36,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,13839,14009,14134,14078,13392,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,71.8,71.7,71.8,71.6,71.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,580,572,557,538,499,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,485,477,469,479,474,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,369,400,408,400,370,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,388,392,401,394,375,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,890,895,880,829,725,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,1098,1126,1150,1147,1082,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,1011,1013,1011,996,954,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,837,864,889,896,860,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,635,620,637,649,641,
