Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,21291,21391,21336,21216,20643,20667
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,3062.3,3076.7,3068.8,3051.5,2969.1,2972.6
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,10606,10665,10638,10576,10257,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,10685,10726,10698,10640,10386,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,33,33.4,33.6,34.1,34.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,34.3,34.8,35.2,35.9,36.2,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,33.6,34.1,34.4,35,35.4,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,14509,14617,14609,14552,14190,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,68.1,68.3,68.5,68.6,68.7,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,907,864,806,735,647,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,957,945,917,897,817,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,920,922,931,934,932,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,784,836,856,876,888,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,664,668,715,701,695,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,615,623,607,592,563,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,782,753,714,689,655,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,880,845,790,784,751,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,1023,979,969,907,835,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,867,885,910,914,954,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,613,666,699,735,731,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,547,573,549,561,537,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,384,409,421,435,411,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,283,292,325,353,331,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,195,209,214,225,238,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,112,117,125,136,158,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,56,56,66,76,85,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,17,23,24,26,29,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,8.6,8.1,7.6,6.9,6.3,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,9,8.9,8.6,8.5,8,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,8.7,8.6,8.8,8.8,9.1,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,7.4,7.8,8,8.3,8.7,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,6.3,6.3,6.7,6.6,6.8,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,5.8,5.8,5.7,5.6,5.5,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,7.4,7.1,6.7,6.5,6.4,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,8.3,7.9,7.4,7.4,7.3,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,9.6,9.2,9.1,8.6,8.1,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,8.2,8.3,8.6,8.6,9.3,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,5.8,6.2,6.6,6.9,7.1,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,5.2,5.4,5.2,5.3,5.2,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,3.6,3.8,4,4.1,4,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,2.7,2.7,3.1,3.3,3.2,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,1.8,2,2,2.1,2.3,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,1.1,1.1,1.2,1.3,1.5,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,0.5,0.5,0.6,0.7,0.8,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,0.2,0.2,0.2,0.2,0.3,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,794,731,663,635,629,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,925,923,901,842,747,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,904,918,921,914,906,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,745,748,765,767,810,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,659,687,709,713,657,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,632,623,618,603,594,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,832,769,731,715,659,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,994,996,940,870,837,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,1057,1001,989,967,935,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,928,960,963,994,972,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,622,691,738,776,763,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,474,477,489,502,516,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,407,428,437,451,427,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,,317,351,360,371,359,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,,189,203,235,262,291,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,109,115,123,132,142,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,67,69,73,76,83,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,30,36,43,50,59,
