Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,22842,23028,23156,23380,22739,23027
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,3558.6,3587.5,3607.5,3642.4,3542.5,3587.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,11083,11168,11232,11322,11039,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,11759,11860,11924,12058,11700,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,33.7,33.7,33.7,34,34.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,35.5,35.4,35.4,36,36.4,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,34.5,34.5,34.5,34.9,35.5,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,14984,15118,15181,15262,14728,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,65.6,65.7,65.6,65.3,64.8,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,756,729,697,691,675,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,746,736,713,717,684,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,686,707,749,743,700,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,599,621,635,631,604,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,913,929,933,904,820,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,1095,1113,1142,1156,1088,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,1005,1004,1002,1011,986,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,771,806,840,845,858,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,650,659,617,621,651,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,599,599,654,695,646,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,505,507,495,516,538,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,567,542,527,500,492,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,556,560,529,531,499,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,574,555,559,554,554,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,392,446,481,540,553,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,233,236,248,257,271,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,165,169,169,181,193,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,271,250,242,229,227,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.8,6.5,6.2,6.1,6.1,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.7,6.6,6.3,6.3,6.2,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,6.2,6.3,6.7,6.6,6.3,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,5.4,5.6,5.7,5.6,5.5,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,8.2,8.3,8.3,8,7.4,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,9.9,10,10.2,10.2,9.9,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,9.1,9,8.9,8.9,8.9,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,7,7.2,7.5,7.5,7.8,
