Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,13135,13555,13881,14090,12378,12943
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,3140.9,3241.3,3319.3,3369.3,2959.9,3095
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,6786,7090,7307,7454,6690,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,6349,6465,6574,6636,5688,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,28.9,28.8,28.7,28.8,29.2,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,29.9,30.2,30.4,31,31.5,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,29.4,29.4,29.4,29.7,30.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,10130,10550,10874,11068,9684,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,77.1,77.8,78.3,78.6,78.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,400,386,371,362,324,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,226,228,239,236,211,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,197,199,187,177,156,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,350,342,325,294,226,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,1305,1367,1396,1370,1141,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,1122,1275,1434,1566,1458,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,814,843,862,881,790,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,546,577,593,613,560,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,326,329,337,347,333,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,273,290,297,288,248,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,239,253,255,277,257,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,202,199,207,220,221,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,177,190,188,177,159,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,159,157,151,159,144,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,118,123,134,148,134,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,103,115,117,123,115,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,103,88,90,93,94,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,126,129,124,123,119,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,5.9,5.4,5.1,4.9,4.8,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,3.3,3.2,3.3,3.2,3.2,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,2.9,2.8,2.6,2.4,2.3,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,5.2,4.8,4.4,3.9,3.4,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,19.2,19.3,19.1,18.4,17.1,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,16.5,18,19.6,21,21.8,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,12,11.9,11.8,11.8,11.8,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,8,8.1,8.1,8.2,8.4,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,4.8,4.6,4.6,4.7,5,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,4,4.1,4.1,3.9,3.7,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,3.5,3.6,3.5,3.7,3.8,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,3,2.8,2.8,3,3.3,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,2.6,2.7,2.6,2.4,2.4,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,2.3,2.2,2.1,2.1,2.2,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,1.7,1.7,1.8,2,2,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,1.5,1.6,1.6,1.7,1.7,
