Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,4280,5677,7487,9196,10642,11676
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,621.8,824.7,1087.7,1336,1546.1,1696.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,2098,2778,3663,4491,5198,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,2182,2899,3824,4705,5444,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,31.5,31.3,31.2,31.5,31.9,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,30.6,30.7,31,31.4,32,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,31.1,31,31.1,31.4,32,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,2798,3682,4843,5940,6816,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,65.4,64.9,64.7,64.6,64,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,239,311,390,453,554,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,224,305,402,501,541,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,168,229,309,382,462,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,127,171,227,274,312,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,108,153,210,257,281,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,127,164,224,277,303,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,210,258,327,389,437,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,231,306,404,500,581,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,202,273,371,462,547,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,141,191,251,312,371,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,115,139,175,211,246,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,62,88,115,147,177,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,46,60,75,91,102,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,43,52,68,85,98,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,31,46,67,81,88,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,14,23,36,50,67,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,8,6,10,16,24,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,2,3,2,3,7,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,11.4,11.2,10.6,10.1,10.7,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,10.7,11,11,11.2,10.4,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,8,8.2,8.4,8.5,8.9,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,6.1,6.2,6.2,6.1,6,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,5.1,5.5,5.7,5.7,5.4,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,6.1,5.9,6.1,6.2,5.8,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,10,9.3,8.9,8.7,8.4,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,11,11,11,11.1,11.2,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,9.6,9.8,10.1,10.3,10.5,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,6.7,6.9,6.9,6.9,7.1,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,5.5,5,4.8,4.7,4.7,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,3,3.2,3.1,3.3,3.4,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,2.2,2.2,2,2,2,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,2,1.9,1.9,1.9,1.9,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,1.5,1.7,1.8,1.8,1.7,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,0.7,0.8,1,1.1,1.3,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,0.4,0.2,0.3,0.4,0.5,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,0.1,0.1,0.1,0.1,0.1,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,240,304,389,448,504,
