Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,1288,4166,7990,11876,15023,17965
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,65.5,212,406.5,604.2,764.4,914
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,642,2086,4006,5952,7530,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,646,2080,3984,5924,7493,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,30.4,29.9,29.7,29.8,29.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,29.9,29.8,29.6,29.7,29.7,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,30.1,29.8,29.7,29.7,29.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,915,2915,5537,8155,10162,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,71,70,69.3,68.7,67.6,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,77,258,507,768,1013,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,67,216,414,612,771,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,36,129,244,362,459,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,29,93,174,250,337,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,38,133,261,382,449,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,69,221,431,634,766,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,92,287,544,800,979,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,90,295,565,839,1056,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,51,164,312,464,590,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,37,110,200,293,371,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,18,61,114,183,252,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,13,40,80,120,168,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,11,37,70,101,128,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,7,23,46,76,96,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,4,13,29,39,53,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,5,14,26,33,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,2,1,1,3,9,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,1,,,,,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,12,12.4,12.7,12.9,13.5,
