Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,8379,8582,8685,8763,8513,8602
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1717.7,1759.4,1780.5,1796.5,1745.2,1763.5
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,4157,4267,4323,4359,4228,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,4222,4315,4362,4404,4285,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,35,34.7,34.7,35.1,36.2,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,37.8,37.8,38,38.5,39,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,36.3,36.2,36.4,37,37.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,5648,5789,5879,5951,5783,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,67.4,67.5,67.7,67.9,67.9,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,380,391,383,350,275,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,229,257,289,315,306,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,189,204,200,204,222,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,199,194,193,197,197,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,302,310,310,303,279,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,396,411,400,378,355,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,387,387,409,429,379,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,364,388,401,392,392,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,321,315,309,324,331,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,306,312,312,309,305,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,236,242,265,271,283,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,189,197,188,214,222,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,155,146,155,152,164,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,116,121,122,129,129,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,113,111,105,109,96,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,90,86,88,88,91,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,88,86,80,82,84,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,97,109,114,113,118,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,9.1,9.2,8.9,8,6.5,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,5.5,6,6.7,7.2,7.2,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,4.5,4.8,4.6,4.7,5.3,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,4.8,4.5,4.5,4.5,4.7,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,7.3,7.3,7.2,7,6.6,
