Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,10003,10976,11827,12663,13185,13607
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,2446.3,2684.3,2892.4,3096.8,3224.5,3327.7
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,5018,5498,5918,6322,6576,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,4985,5478,5909,6341,6609,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,29.4,29.7,29.8,30.2,30.9,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,30.7,30.8,31.1,31.5,32,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,30.1,30.3,30.5,30.9,31.5,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,6563,7216,7811,8379,8699,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,65.6,65.7,66,66.2,66,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,637,651,649,639,595,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,509,565,611,653,688,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,331,380,430,476,546,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,268,295,330,368,379,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,345,391,426,444,432,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,485,506,532,551,547,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,593,631,659,678,648,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,528,594,641,692,733,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,358,415,455,501,556,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,248,267,302,337,375,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,176,199,216,238,253,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,153,170,193,215,228,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,112,122,133,150,189,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,94,99,111,128,129,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,82,96,97,103,112,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,46,55,60,65,72,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,31,36,48,53,52,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,22,26,25,31,42,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,12.7,11.8,11,10.1,9,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,10.1,10.3,10.3,10.3,10.5,
