Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,20718,21730,22764,23326,23753,24198
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,1879.1,1970.9,2064.7,2115.7,2154.4,2194.8
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,10246,10770,11306,11599,11806,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,10472,10960,11458,11727,11947,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,30.1,30,29.9,30.1,30.5,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,30.5,30.8,31,31.5,32.2,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,30.3,30.4,30.5,30.9,31.5,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,13232,13880,14559,14934,15186,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,63.9,63.9,64,64,63.9,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,1218,1254,1261,1219,1171,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,1054,1097,1148,1181,1219,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,789,848,912,961,1023,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,624,681,731,764,763,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,600,676,756,797,789,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,819,827,855,859,843,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,1140,1133,1113,1035,964,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,1059,1130,1203,1267,1292,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,820,856,905,957,1000,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,573,621,650,679,739,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,388,417,463,473,503,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,293,307,339,381,408,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,203,226,242,256,280,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,199,198,199,204,207,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,201,207,217,223,225,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,131,147,159,175,188,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,85,86,93,105,121,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,50,59,60,63,71,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,11.9,11.6,11.2,10.5,9.9,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,10.3,10.2,10.2,10.2,10.3,
