Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,21197,21397,21493,21642,21580,21583
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1627.2,1642.5,1649.9,1661.3,1656.6,1656.8
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,10699,10830,10895,10983,10934,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,10498,10567,10598,10659,10646,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,33.3,33.2,33.1,33.5,34.2,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,34.7,34.5,34.4,34.8,35.3,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,34,33.9,33.8,34.1,34.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,14237,14428,14554,14682,14572,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,67.2,67.4,67.7,67.8,67.5,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,872,882,850,837,813,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,800,781,788,778,789,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,643,656,676,700,698,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,755,775,752,694,648,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,869,884,914,906,846,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,851,884,945,958,919,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,849,871,859,881,885,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,785,820,835,849,847,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,698,665,652,688,725,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,705,698,684,655,658,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,633,622,631,669,689,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,616,649,644,635,616,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,491,480,498,544,572,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,439,441,446,449,451,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,302,322,307,318,340,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,179,183,205,208,223,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,128,125,118,125,125,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,84,92,91,89,90,
