Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,9568,10703,12840,15345,17613,19684
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,117.2,131.1,157.2,187.9,215.7,241
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,4783,5330,6370,7585,8686,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,4785,5373,6470,7760,8927,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,35.2,34.2,33.5,33.1,33.2,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,34.5,33.1,32.3,32,32,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,34.9,33.6,32.9,32.6,32.6,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,6376,7173,8603,10238,11636,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,66.6,67,67,66.7,66.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,417,491,611,753,906,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,331,398,508,624,734,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,284,299,357,444,511,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,257,263,311,356,409,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,343,378,418,464,457,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,337,423,546,671,758,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,409,512,654,811,944,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,379,463,594,745,887,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,294,313,379,485,597,
