Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,14111,14313,14505,14542,14247,14192
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2075.8,2105.5,2133.7,2139.2,2095.8,2087.7
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,6665,6760,6850,6868,6721,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,7446,7553,7655,7674,7526,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,37.6,37.7,37.8,38.3,38.9,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,41.8,41.7,41.9,42.3,43,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,39.5,39.6,39.8,40.3,40.9,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,8666,8747,8836,8773,8486,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,61.4,61.1,60.9,60.3,59.6,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,480,465,456,452,454,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,449,463,475,452,458,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,398,416,433,467,450,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,392,386,384,381,371,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,449,461,464,442,391,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,438,446,458,439,406,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,473,482,471,464,434,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,493,491,494,501,502,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,419,443,469,472,465,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,409,408,412,427,422,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,393,398,394,394,392,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,374,374,380,377,365,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,318,305,309,319,338,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,306,311,298,317,284,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,306,331,356,341,332,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,226,234,235,252,271,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,153,164,196,203,208,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,189,182,166,168,178,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,7.2,6.9,6.7,6.6,6.8,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.7,6.8,6.9,6.6,6.8,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,6,6.2,6.3,6.8,6.7,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,5.9,5.7,5.6,5.5,5.5,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,6.7,6.8,6.8,6.4,5.8,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,6.6,6.6,6.7,6.4,6,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,7.1,7.1,6.9,6.8,6.5,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,7.4,7.3,7.2,7.3,7.5,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,6.3,6.6,6.8,6.9,6.9,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,6.1,6,6,6.2,6.3,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,5.9,5.9,5.8,5.7,5.8,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,5.6,5.5,5.5,5.5,5.4,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,4.8,4.5,4.5,4.6,5,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,4.6,4.6,4.4,4.6,4.2,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,4.6,4.9,5.2,5,4.9,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,3.4,3.5,3.4,3.7,4,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,2.3,2.4,2.9,3,3.1,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,2.8,2.7,2.4,2.4,2.6,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,432,419,419,422,444,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,423,429,430,416,407,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,375,383,380,399,397,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,398,377,385,364,356,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,455,478,465,428,383,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,482,497,503,483,442,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,535,526,507,517,492,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,474,516,578,583,562,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,451,431,432,450,447,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,481,498,487,485,452,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,431,424,443,454,472,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,410,410,397,387,404,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,391,396,404,406,390,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,,393,396,393,385,379,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,,370,402,424,443,421,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,321,325,355,381,371,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,266,288,278,283,294,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,358,358,375,388,413,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,,5.8,5.5,5.5,5.5,5.9,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,,5.7,5.7,5.6,5.4,5.4,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,5,5.1,5,5.2,5.3,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,,5.3,5,5,4.7,4.7,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,6.1,6.3,6.1,5.6,5.1,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,6.5,6.6,6.6,6.3,5.9,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,,7.2,7,6.6,6.7,6.5,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,,6.4,6.8,7.6,7.6,7.5,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,,6.1,5.7,5.6,5.9,5.9,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,,6.5,6.6,6.4,6.3,6,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,,5.8,5.6,5.8,5.9,6.3,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,,5.5,5.4,5.2,5,5.4,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,,5.3,5.2,5.3,5.3,5.2,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,,5.3,5.2,5.1,5,5,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,,5,5.3,5.5,5.8,5.6,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,,4.3,4.3,4.6,5,4.9,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,,3.6,3.8,3.6,3.7,3.9,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,,4.8,4.7,4.9,5.1,5.5,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,,912,884,875,874,898,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,,872,892,905,868,865,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,,773,799,813,866,847,
ERP_P_5,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (no.),,,,790,763,769,745,727,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,,904,939,929,870,774,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,,920,943,961,922,848,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,,1008,1008,978,981,926,
ERP_P_9,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (no.),,,,967,1007,1072,1084,1064,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,,870,874,901,922,912,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,,890,906,899,912,874,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,,824,822,837,848,864,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,,784,784,777,764,769,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,,709,701,713,725,728,
ERP_P_15,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (no.),,,,699,707,691,702,663,
ERP_P_16,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (no.),,,,676,733,780,784,753,
ERP_P_17,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (no.),,,,547,559,590,633,642,
ERP_P_18,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (no.),,,,419,452,474,486,502,
ERP_P_19,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (no.),,,,547,540,541,556,591,
ERP_P_21,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (%),,,,6.5,6.2,6,6,6.3,
ERP_P_22,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (%),,,,6.2,6.2,6.2,6,6.1,
ERP_P_23,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (%),,,,5.5,5.6,5.6,6,5.9,
ERP_P_24,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (%),,,,5.6,5.3,5.3,5.1,5.1,
ERP_P_25,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (%),,,,6.4,6.6,6.4,6,5.4,
ERP_P_26,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (%),,,,6.5,6.6,6.6,6.3,6,
ERP_P_27,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (%),,,,7.1,7,6.7,6.7,6.5,
