Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,9821,9925,9987,9889,9497,9541
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,182.6,184.5,185.7,183.9,176.6,177.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,5290,5320,5320,5237,4963,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,4531,4605,4667,4652,4534,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,31.1,30.8,30.7,31,32.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,32.2,32,32,32.2,32.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,31.6,31.3,31.3,31.6,32.6,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,6538,6547,6540,6428,6226,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,66.6,66,65.5,65,65.6,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,457,489,483,432,361,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,370,400,415,424,359,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,274,282,320,345,321,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,309,298,282,270,254,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,535,521,503,456,385,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,561,570,576,576,554,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,533,521,509,496,476,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,459,457,459,458,457,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,362,361,357,357,364,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,297,292,291,292,294,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,239,245,242,236,231,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,207,200,199,199,214,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,162,168,176,171,169,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,157,151,148,151,157,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,130,127,122,136,131,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,98,90,100,92,99,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,68,76,72,87,83,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,72,72,66,59,54,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,8.6,9.2,9.1,8.2,7.3,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,7,7.5,7.8,8.1,7.2,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,5.2,5.3,6,6.6,6.5,
