Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,10646,10692,10756,10722,10554,10550
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1469.7,1476,1484.9,1480.2,1457,1456.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,5279,5301,5329,5301,5211,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,5367,5391,5427,5421,5343,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,42.1,42.4,42.6,43.1,43.4,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,44.2,44.4,44.5,45.2,45.9,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,43.2,43.4,43.5,44.1,44.7,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,6616,6612,6619,6529,6372,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,62.1,61.8,61.5,60.9,60.4,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,248,238,250,258,259,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,361,367,339,315,302,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,364,370,379,398,416,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,338,327,337,336,346,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,341,358,363,346,305,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,258,249,248,241,231,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,265,267,261,240,229,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,308,304,313,314,291,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,365,362,350,341,335,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,375,381,400,398,399,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,364,355,349,364,379,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,379,381,361,352,350,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,315,323,343,348,332,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,320,318,302,300,285,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,259,280,296,282,277,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,187,188,192,219,211,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,120,121,133,133,138,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,112,112,113,116,126,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,4.7,4.5,4.7,4.9,5,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.8,6.9,6.4,5.9,5.8,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,6.9,7,7.1,7.5,8,
