Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,13923,15439,16375,16678,15942,16422
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,5696.8,6317.1,6700.1,6824.1,6522.9,6719.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,7244,8049,8551,8711,8320,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,6679,7390,7824,7967,7622,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,31.5,31.8,32.1,32.4,32.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,30.5,30.9,31.2,31.6,32.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,31,31.4,31.6,32,32.5,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,12098,13394,14192,14442,13715,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,86.9,86.8,86.7,86.6,86,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,362,389,402,393,376,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,118,148,171,185,202,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,71,77,78,79,76,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,227,216,195,169,136,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,916,983,1005,955,823,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,1496,1621,1696,1686,1543,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,1282,1478,1628,1716,1675,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,722,858,961,1034,1048,
