Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,14921,15108,15750,15920,15593,15688
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,3129.1,3168.4,3303,3338.6,3270.1,3290
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,7122,7215,7537,7620,7446,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,7799,7893,8213,8300,8147,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,37.6,37.4,37.2,37.6,38.4,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,40.9,40.7,39.7,40.1,41.2,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,39.3,39,38.5,38.8,39.9,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,9266,9357,9732,9783,9486,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,62.1,61.9,61.8,61.5,60.8,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,509,506,505,467,443,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,498,516,614,666,628,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,392,432,474,512,525,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,412,389,403,394,393,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,436,461,466,454,416,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,463,471,461,421,399,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,540,542,555,565,524,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,568,596,688,672,606,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,499,506,549,613,612,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,468,467,484,494,514,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,392,397,391,399,420,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,345,349,352,357,359,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,325,330,332,344,337,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,290,272,290,290,293,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,303,293,277,275,279,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,284,275,276,269,253,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,217,237,238,239,248,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,181,176,182,189,197,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,7.1,7,6.7,6.1,5.9,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,7,7.2,8.1,8.7,8.4,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,5.5,6,6.3,6.7,7.1,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,5.8,5.4,5.3,5.2,5.3,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,6.1,6.4,6.2,6,5.6,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,6.5,6.5,6.1,5.5,5.4,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,7.6,7.5,7.4,7.4,7,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,8,8.3,9.1,8.8,8.1,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,7,7,7.3,8,8.2,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,6.6,6.5,6.4,6.5,6.9,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,5.5,5.5,5.2,5.2,5.6,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,4.8,4.8,4.7,4.7,4.8,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,4.6,4.6,4.4,4.5,4.5,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,4.1,3.8,3.8,3.8,3.9,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,4.3,4.1,3.7,3.6,3.7,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,4,3.8,3.7,3.5,3.4,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,3,3.3,3.2,3.1,3.3,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,2.5,2.4,2.4,2.5,2.6,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,448,444,471,450,450,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,463,489,551,601,553,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,364,403,437,460,487,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,418,375,356,355,358,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,399,413,414,386,354,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,478,469,457,429,378,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,631,633,698,652,578,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,592,647,770,803,746,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,547,550,565,628,644,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,471,485,496,508,511,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,473,457,456,447,445,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,413,435,448,468,485,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,396,385,391,394,407,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,,356,350,356,376,375,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,,421,409,386,368,377,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,377,385,383,394,386,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,254,262,276,283,306,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,298,302,302,298,307,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,,5.7,5.6,5.7,5.4,5.5,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,,5.9,6.2,6.7,7.2,6.8,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,4.7,5.1,5.3,5.5,6,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,,5.4,4.8,4.3,4.3,4.4,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,5.1,5.2,5,4.7,4.3,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,6.1,5.9,5.6,5.2,4.6,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,,8.1,8,8.5,7.9,7.1,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,,7.6,8.2,9.4,9.7,9.2,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,,7,7,6.9,7.6,7.9,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,,6,6.1,6,6.1,6.3,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,,6.1,5.8,5.6,5.4,5.5,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,,5.3,5.5,5.5,5.6,6,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,,5.1,4.9,4.8,4.7,5,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,,4.6,4.4,4.3,4.5,4.6,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,,5.4,5.2,4.7,4.4,4.6,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,,4.8,4.9,4.7,4.7,4.7,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,,3.3,3.3,3.4,3.4,3.8,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,,3.8,3.8,3.7,3.6,3.8,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,,957,950,976,917,893,
