Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,12008,12459,12760,13150,13460,13553
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,266.5,276.5,283.2,291.8,298.7,300.8
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,5855,6078,6225,6414,6563,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,6153,6381,6535,6736,6897,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,48.8,49.1,49.4,50,50.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,50.3,50.4,50.7,51.2,51.9,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,49.5,49.7,50.1,50.7,51.4,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,6821,7074,7243,7443,7548,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,56.8,56.8,56.8,56.6,56.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,268,266,272,277,279,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,305,299,291,287,277,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,322,351,345,348,350,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,316,318,339,350,358,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,253,290,314,319,309,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,260,248,245,249,247,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,256,288,297,309,296,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,302,300,293,300,318,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,343,343,338,328,325,
