Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,16383,16259,16191,15910,15041,14860
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,6417.2,6368.6,6342,6231.9,5891.5,5820.6
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,7765,7707,7674,7538,7128,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,8618,8552,8517,8372,7913,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,36.2,36.5,36.9,37.4,38.1,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,35.7,36.1,36.5,37.1,37.8,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,35.9,36.3,36.7,37.2,37.9,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,12706,12540,12391,12116,11480,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,77.6,77.1,76.5,76.2,76.3,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,479,477,478,447,347,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,370,366,366,347,340,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,338,338,335,349,340,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,256,266,274,279,284,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,419,412,401,376,327,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,806,777,750,706,634,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,1010,965,927,882,824,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,787,775,761,744,722,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,671,642,619,600,574,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,649,659,667,637,572,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,511,513,530,559,570,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,475,482,472,464,446,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,334,357,381,404,399,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,277,272,284,298,289,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,167,189,203,220,222,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,110,111,112,104,116,
