Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,13868,13921,13916,13776,13272,13158
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1785,1791.8,1791.2,1773.2,1708.3,1693.6
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,6878,6914,6914,6849,6604,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,6990,7007,7002,6927,6668,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,34.2,34.6,35,35.7,36.5,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,35.8,36.3,36.9,37.7,38.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,35,35.4,35.9,36.7,37.5,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,9403,9416,9353,9192,8785,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,67.8,67.6,67.2,66.7,66.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,491,476,465,447,410,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,523,531,514,467,423,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,414,415,425,460,440,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,426,431,437,404,397,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,555,546,534,499,464,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,558,530,532,510,503,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,560,577,555,555,522,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,542,556,546,526,476,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,446,445,470,482,487,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,459,466,451,443,395,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,402,398,400,416,403,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,408,405,392,407,402,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,338,364,399,388,372,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,263,268,270,280,290,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,155,160,171,193,224,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,137,134,134,145,153,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,107,112,113,118,132,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,94,100,106,109,111,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,7.1,6.9,6.7,6.5,6.2,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,7.6,7.7,7.4,6.8,6.4,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,6,6,6.1,6.7,6.7,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,6.2,6.2,6.3,5.9,6,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,8.1,7.9,7.7,7.3,7,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,8.1,7.7,7.7,7.4,7.6,
