Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,8763,8777,8759,8645,8282,8073
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,552.1,553,551.9,544.7,521.8,508.7
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,4384,4387,4384,4329,4152,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,4379,4390,4375,4316,4130,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,34.7,34.7,34.9,35.5,36.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,36.6,36.8,37.3,38.2,39.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,35.6,35.8,36.2,36.9,38.1,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,5945,5965,5950,5842,5518,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,67.8,68,67.9,67.6,66.6,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,315,296,279,253,221,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,272,262,248,240,220,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,235,248,253,257,237,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,246,251,244,231,229,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,377,383,385,372,339,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,376,383,397,388,365,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,392,394,393,386,353,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,311,314,314,330,328,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,295,302,303,291,260,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,237,230,237,235,243,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,269,270,253,252,256,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,246,232,245,238,224,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,221,213,211,222,224,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,222,215,205,196,196,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,167,180,188,192,195,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,96,100,104,111,116,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,55,61,67,74,79,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,52,53,58,61,67,
