Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,12501,12601,12684,12744,12313,12276
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,3517.1,3545.3,3568.6,3585.5,3464.3,3453.8
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,6041,6106,6153,6193,5994,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,6460,6495,6531,6551,6319,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,35.2,35.2,35.2,35.7,36.7,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,35.7,36,36.3,37.1,38.2,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,35.4,35.6,35.7,36.4,37.4,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,8985,9032,9101,9119,8783,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,71.9,71.7,71.8,71.6,71.3,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,350,328,317,277,258,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,326,367,334,342,308,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,334,335,371,389,328,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,313,321,337,333,320,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,490,507,518,509,480,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,610,636,645,639,589,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,581,540,529,528,528,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,427,441,456,471,487,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,425,392,394,413,398,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,392,419,411,387,377,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,371,362,364,378,389,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,370,385,340,340,339,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,350,340,393,397,346,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,238,259,259,283,319,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,180,187,195,210,216,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,117,114,119,122,138,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,81,90,89,92,89,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,86,83,82,83,85,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,5.8,5.4,5.2,4.5,4.3,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,5.4,6,5.4,5.5,5.1,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,5.5,5.5,6,6.3,5.5,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,5.2,5.3,5.5,5.4,5.3,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,8.1,8.3,8.4,8.2,8,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,10.1,10.4,10.5,10.3,9.8,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,9.6,8.8,8.6,8.5,8.8,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,7.1,7.2,7.4,7.6,8.1,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,7,6.4,6.4,6.7,6.6,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,6.5,6.9,6.7,6.2,6.3,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,6.1,5.9,5.9,6.1,6.5,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,6.1,6.3,5.5,5.5,5.7,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,5.8,5.6,6.4,6.4,5.8,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,3.9,4.2,4.2,4.6,5.3,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,3,3.1,3.2,3.4,3.6,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,1.9,1.9,1.9,2,2.3,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,1.3,1.5,1.4,1.5,1.5,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,1.4,1.4,1.3,1.3,1.4,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,335,320,313,286,254,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,295,306,308,306,296,
