Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,3,6,8,11,14,14
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,0.9,1.8,2.4,3.3,4.2,4.2
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,2,4,5,7,9,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,1,2,3,4,5,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,41,47.5,43,44.5,45.5,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,27.5,36.5,45.5,38.5,31.5,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,40.5,43.5,43.3,44.5,45.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,3,6,8,11,14,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,100,100,100,100,100,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,2,2,4,4,3,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,,,,,3,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,,2,1,2,,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,,,,1,3,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,100,50,80,57.1,33.3,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,,,,,33.3,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,,50,20,28.6,,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,,,,14.3,33.3,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,,,,,1,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,1,1,1,,1,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,,,,2,1,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,,1,,,,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,,,1,1,1,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,,,1,1,,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,,,,,1,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,,,,,20,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,100,50,33.3,,20,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,,,,,50,20,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,,,50,,,,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,,,,33.3,25,20,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,,,,33.3,25,,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,,,,,,20,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,,,,,,1,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,,1,1,1,,1,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,,,,,2,1,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,,2,3,4,4,3,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,,,,1,1,4,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,,,2,2,3,,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,,,,,1,4,
ERP_P_25,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (%),,,,,,,,7.1,
ERP_P_26,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (%),,,,33.3,16.7,12.5,,7.1,
ERP_P_27,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (%),,,,,,,18.2,7.1,
ERP_P_29,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (%),,,,66.7,50,50,36.4,21.4,
ERP_P_30,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (%),,,,,,12.5,9.1,28.6,
ERP_P_31,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (%),,,,,33.3,25,27.3,,
ERP_P_32,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (%),,,,,,,9.1,28.6,
CENSUS_5,Overseas born population - Census,Born in North-West Europe (%),,,,,,,,23.1,
CENSUS_9,Overseas born population - Census,Born in North-East Asia (%),,,,,,,,23.1,
CENSUS_35,Overseas born population - Census,Total born overseas (no.),,,,,,,,8,
CENSUS_13,Overseas born population - Census,Total born overseas (%),,,,,,,,61.5,
CENSUS_15,Religious affiliation - Census,Buddhism (%),,,,,,,,23.1,
CENSUS_16,Religious affiliation - Census,Christianity (%),,,,,,,,30.8,
CENSUS_22,Religious affiliation - Census,Religious affiliation inadequately described or not stated (%),,,,,,,,38.5,
CENSUS_36,Australian citizenship - Census,Australian citizen (no.),,,,,,,,5,
CENSUS_37,Australian citizenship - Census,Not an Australian citizen (no.),,,,,,,,3,
CENSUS_38,Australian citizenship - Census,Australian citizenship not stated (no.),,,,,,,,5,
CENSUS_29,Australian citizenship - Census,Australian citizen (%),,,,,,,,38.5,
CENSUS_30,Australian citizenship - Census,Not an Australian citizen (%),,,,,,,,23.1,
CENSUS_31,Australian citizenship - Census,Australian citizenship not stated (%),,,,,,,,38.5,
CENSUS_39,Speaks a language other than English at home - Census,Speaks a language other than English at home (no.),,,,,,,,3,
CENSUS_33,Speaks a language other than English at home - Census,Speaks a language other than English at home (%),,,,,,,,23.1,
ING_LANG1,Language - Census,Speakers of an Aboriginal or Torres Strait Islander language who identify as Aboriginal and/or Torres Strait Islander (%),0,,0,,,,,0,
ING_LANG2,Language - Census,Speaks English at home (%),0,,0,,,,,0,
ING_EETP1,"Engagement in employment, education or training - Census",Fully engaged (%),0,,0,,,,,,
ING_EETP2,"Engagement in employment, education or training - Census",Partially or at least partially engaged (%),0,,0,,,,,,
ING_EETP3,"Engagement in employment, education or training - Census",Not engaged (%),0,,0,,,,,,
ING_YR12ATT,Education - Census,Attained year 12 or equivalent or Certificate III or above (aged 20-24 years) (%),0,,0,,,,,,
ING_EMP1,Labour force status - Census,Employed (no.),0,,0,,,,,,
ING_EMP2,Labour force status - Census,% of total labour force employed,0,,0,,,,,,
ING_UNEMP1,Labour force status - Census,Unemployed (no.),0,,0,,,,,,
ING_UNEMP2,Labour force status - Census,% of total labour force unemployed,0,,0,,,,,,
ING_LABF,Labour force status - Census,In the labour force (no.),0,,0,,,,,,
ING_LFPR,Labour force status - Census,Labour force participation rate (%),0,,0,,,,,,
ING_NILF,Labour force status - Census,Not in the labour force (%),0,,0,,,,,,
ING_1564,Labour force status - Census,Total responding population aged 15-64 years (no.),0,,0,,,,,,
ING_EMP3,Labour force status - Census,% of total Census responding population employed,0,,0,,,,,,
ING_UA1,Unpaid assistance to a person with a disability - Census,Provided unpaid assistance (no.),0,,0,,,,,0,
ING_UA2,Unpaid assistance to a person with a disability - Census,Provided unpaid assistance (%),0,,0,,,,,0,
ING_UPCC1,Unpaid child care - Census,Cared for own child/children (no.),0,,0,,,,,0,
ING_UPCC2,Unpaid child care - Census,Cared for own child/children (%),0,,0,,,,,0,
ING_UPCC3,Unpaid child care - Census,Cared for other child/children (no.),0,,0,,,,,0,
ING_UPCC4,Unpaid child care - Census,Cared for other child/children (%),0,,0,,,,,0,
ING_UPCC5,Unpaid child care - Census,Total provided unpaid child care (no.),0,,0,,,,,0,
ING_UPCC6,Unpaid child care - Census,Total provided unpaid child care (%),0,,0,,,,,0,
ING_UPCC7,Unpaid child care - Census,Did not provide unpaid child care (no.),0,,0,,,,,0,
ING_UPCC8,Unpaid child care - Census,Did not provide unpaid child care (%),0,,0,,,,,0,
ING_VOLWP1,Voluntary work for an organisation or group - Census,Volunteered for an organisation or group (no.),0,,0,,,,,0,
