Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,2947,2996,2991,3014,3024,3126
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,42.4,43.1,43,43.4,43.5,45
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,1461,1478,1474,1481,1488,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,1486,1518,1517,1533,1536,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,32.9,32.8,32.8,33.4,34.7,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,32.9,33.3,33.8,34.3,35.2,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,32.9,33.1,33.3,33.9,34.9,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,1915,1914,1901,1906,1920,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,65,63.9,63.6,63.2,63.5,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,210,213,203,180,143,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,161,167,170,175,176,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,105,114,120,131,146,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,54,63,72,77,81,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,44,47,49,50,50,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,81,68,61,54,47,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,138,131,123,116,109,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,172,159,146,138,124,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,152,153,148,151,151,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,96,104,108,121,147,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,77,73,79,85,95,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,56,60,59,61,67,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,43,43,48,57,54,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,42,52,51,43,48,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,17,20,26,31,37,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,8,5,7,8,10,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,4,5,4,3,,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,1,1,,,3,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,14.4,14.4,13.8,12.2,9.6,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,11,11.3,11.5,11.8,11.8,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,7.2,7.7,8.1,8.8,9.8,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,3.7,4.3,4.9,5.2,5.4,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,3,3.2,3.3,3.4,3.4,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,5.5,4.6,4.1,3.6,3.2,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,9.4,8.9,8.3,7.8,7.3,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,11.8,10.8,9.9,9.3,8.3,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,10.4,10.4,10,10.2,10.1,
