Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,14406,14467,14520,14428,14249,14231
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2062.4,2071.1,2078.7,2065.5,2039.9,2037.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,7084,7125,7160,7099,6989,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,7322,7342,7360,7329,7260,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,38.3,38.5,38.6,38.9,39.3,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,40.5,40.7,40.8,41.4,42.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,39.3,39.5,39.7,40.2,40.7,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,9302,9333,9344,9239,9060,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,64.6,64.5,64.4,64,63.6,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,453,435,433,427,433,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,445,456,463,463,429,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,425,442,448,427,426,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,378,377,388,407,413,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,438,451,457,425,374,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,523,495,478,454,446,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,508,536,532,546,527,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,549,539,532,516,518,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,483,482,499,499,506,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,510,509,510,488,459,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,460,473,462,475,487,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,408,412,431,424,424,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,378,382,372,367,353,
