Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,88,86,83,81,78,78
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,51.5,50.3,48.6,47.4,45.6,45.6
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,43,44,46,47,48,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,45,42,37,34,30,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,29.5,29,30.3,31.8,31,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,31.7,32.3,32.2,33.3,32.3,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,31.3,30.9,31.1,32.5,32,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,74,74,72,74,77,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,84.1,86,86.7,91.4,98.7,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,10,9,8,5,,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,5,5,3,2,6,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,8,11,11,13,17,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,1,4,8,10,5,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,5,2,3,4,6,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,10,7,6,4,5,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,,3,4,5,5,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,,,,1,1,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,4,3,3,2,,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,,,,1,3,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,23.3,20.5,17.4,10.6,,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,11.6,11.4,6.5,4.3,12.5,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,18.6,25,23.9,27.7,35.4,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,2.3,9.1,17.4,21.3,10.4,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,11.6,4.5,6.5,8.5,12.5,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,23.3,15.9,13,8.5,10.4,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,,6.8,8.7,10.6,10.4,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,,,,2.1,2.1,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,9.3,6.8,6.5,4.3,,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,,,,2.1,6.3,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,4,,,,,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,,3,2,1,,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,,,1,1,1,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,,,2,1,1,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,10,9,8,9,10,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,14,16,11,9,5,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,8,6,4,5,5,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,4,3,3,2,2,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,,,3,4,4,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,,1,1,,,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,5,4,2,2,2,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,,8.9,,,,,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,,,7.1,5.4,2.9,,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,,,2.7,2.9,3.3,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,,,5.4,2.9,3.3,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,22.2,21.4,21.6,26.5,33.3,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,,31.1,38.1,29.7,26.5,16.7,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,,17.8,14.3,10.8,14.7,16.7,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,,8.9,7.1,8.1,5.9,6.7,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,,,,8.1,11.8,13.3,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,,,2.4,2.7,,,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,,11.1,9.5,5.4,5.9,6.7,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,,14,9,8,5,,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,,,3,2,1,,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,,,,1,1,1,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,,5,5,5,3,7,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,,18,20,19,22,27,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,,15,20,19,19,10,
ERP_P_9,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (no.),,,,13,8,7,9,11,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,,14,10,9,6,7,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,,,3,7,9,9,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,,,1,1,1,1,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,,9,7,5,4,2,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,,,,,1,3,
ERP_P_21,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (%),,,,15.9,10.5,9.6,6.2,,
ERP_P_22,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (%),,,,,3.5,2.4,1.2,,
ERP_P_23,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (%),,,,,,1.2,1.2,1.3,
ERP_P_25,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (%),,,,5.7,5.8,6,3.7,9,
ERP_P_26,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (%),,,,20.5,23.3,22.9,27.2,34.6,
ERP_P_27,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (%),,,,17,23.3,22.9,23.5,12.8,
ERP_P_28,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (%),,,,14.8,9.3,8.4,11.1,14.1,
ERP_P_29,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (%),,,,15.9,11.6,10.8,7.4,9,
ERP_P_30,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (%),,,,,3.5,8.4,11.1,11.5,
ERP_P_31,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (%),,,,,1.2,1.2,1.2,1.3,
ERP_P_32,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (%),,,,10.2,8.1,6,4.9,2.6,
ERP_P_33,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (%),,,,,,,1.2,3.8,
BD_2,Births and deaths - year ended 31 December,Births (no.),,,,,,,3,,
CENSUS_4,Overseas born population - Census,Born in Oceania and Antarctica (excluding Australia) (%),,,,,,,,5.2,
CENSUS_5,Overseas born population - Census,Born in North-West Europe (%),,,,,,,,3.9,
CENSUS_6,Overseas born population - Census,Born in Southern and Eastern Europe (%),,,,,,,,5.2,
CENSUS_7,Overseas born population - Census,Born in North Africa and the Middle East (%),,,,,,,,5.2,
CENSUS_8,Overseas born population - Census,Born in South-East Asia (%),,,,,,,,10.4,
CENSUS_9,Overseas born population - Census,Born in North-East Asia (%),,,4.7,,,,,9.1,
CENSUS_10,Overseas born population - Census,Born in Southern and Central Asia (%),,,3.5,,,,,13,
CENSUS_11,Overseas born population - Census,Born in Americas (%),,,10.6,,,,,10.4,
CENSUS_35,Overseas born population - Census,Total born overseas (no.),,,16,,,,,38,
CENSUS_13,Overseas born population - Census,Total born overseas (%),,,18.8,,,,,49.4,
CENSUS_15,Religious affiliation - Census,Buddhism (%),6.5,,4.7,,,,,,
CENSUS_16,Religious affiliation - Census,Christianity (%),35.1,,36.5,,,,,19.5,
CENSUS_17,Religious affiliation - Census,Hinduism (%),,,,,,,,7.8,
CENSUS_18,Religious affiliation - Census,Islam (%),,,,,,,,3.9,
CENSUS_40,Religious affiliation - Census,"Secular beliefs, other spiritual beliefs or no religion (%)",36.4,,15.3,,,,,55.8,
