Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,5716,5793,5870,5947,6021,6035
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,19.9,20.2,20.4,20.7,21,21
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,2873,2915,2950,2983,3023,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,2843,2878,2920,2964,2998,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,52.2,53.3,54.3,55.6,56.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,52.6,53.2,53.9,55,55.8,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,52.4,53.3,54.1,55.2,56.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,3353,3337,3361,3338,3295,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,58.7,57.6,57.3,56.1,54.7,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,137,128,124,116,101,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,163,167,163,157,163,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,169,167,165,165,156,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,146,149,153,151,138,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,128,119,110,109,117,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,80,78,87,95,97,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,83,86,86,76,81,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,110,99,97,103,108,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,141,144,132,119,114,
