Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,23727,23973,24104,24230,23908,23805
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2041.1,2062.3,2073.6,2084.4,2056.7,2047.8
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,11556,11694,11770,11838,11651,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,12171,12279,12334,12392,12257,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,37.1,37,37,37.3,38,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,39.2,38.8,38.7,39.1,40,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,38.1,37.9,37.9,38.2,39,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,15973,16073,16163,16221,15921,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,67.3,67,67.1,66.9,66.6,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,767,767,765,736,673,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,664,672,650,656,661,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,615,664,681,688,644,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,635,629,660,668,665,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,859,856,851,836,773,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,935,951,971,952,892,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,945,954,959,983,974,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,808,839,840,835,859,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,731,728,719,731,741,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,763,806,844,860,821,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,694,674,679,671,697,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,740,728,716,728,707,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,677,650,639,658,661,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,576,586,582,576,571,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,436,465,496,535,562,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,321,323,301,303,317,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,205,209,224,226,224,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,185,193,193,196,209,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.6,6.6,6.5,6.2,5.8,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,5.7,5.7,5.5,5.5,5.7,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,5.3,5.7,5.8,5.8,5.5,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,5.5,5.4,5.6,5.6,5.7,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,7.4,7.3,7.2,7.1,6.6,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,8.1,8.1,8.2,8,7.7,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,8.2,8.2,8.1,8.3,8.4,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,7,7.2,7.1,7.1,7.4,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,6.3,6.2,6.1,6.2,6.4,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,6.6,6.9,7.2,7.3,7,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,6,5.8,5.8,5.7,6,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,6.4,6.2,6.1,6.1,6.1,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,5.9,5.6,5.4,5.6,5.7,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,5,5,4.9,4.9,4.9,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,3.8,4,4.2,4.5,4.8,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,2.8,2.8,2.6,2.6,2.7,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,1.8,1.8,1.9,1.9,1.9,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,1.6,1.7,1.6,1.7,1.8,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,704,701,690,670,646,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,625,625,642,645,645,
