Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,19095,19179,19241,19156,18948,18982
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1311.4,1317.2,1321.5,1315.6,1301.3,1303.7
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,9242,9306,9340,9285,9154,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,9853,9873,9901,9871,9794,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,41.7,41.7,41.7,42.1,42.9,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,44.3,44.1,43.9,44.2,44.8,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,43,42.8,42.8,43.2,43.9,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,11627,11609,11599,11450,11197,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,60.9,60.5,60.3,59.8,59.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,556,556,560,530,475,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,604,632,630,654,686,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,675,676,673,674,657,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,610,601,627,621,636,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,559,553,539,501,440,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,458,467,470,436,378,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,448,456,456,462,443,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,513,531,524,525,532,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,627,606,615,605,596,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,683,674,672,689,678,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,643,655,638,626,650,
