Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,5793,7004,7983,8742,10223,12956
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,98.6,119.3,135.9,148.8,174.1,220.6
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,2877,3472,3953,4320,5041,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,2916,3532,4030,4422,5182,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,30,30.2,30.2,30.5,31.1,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,30.2,30.4,30.7,31.1,31.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,30.1,30.3,30.5,30.8,31.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,4043,4852,5507,5981,6925,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,69.8,69.3,69,68.4,67.7,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,328,397,448,482,560,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,231,292,347,383,449,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,210,253,287,336,401,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,155,200,246,272,319,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,177,223,256,274,301,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,335,358,371,364,375,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,394,459,506,536,609,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,331,405,461,507,597,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,211,267,315,357,452,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,144,180,218,253,308,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,108,131,149,156,192,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,63,89,104,129,147,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,75,79,85,87,112,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,49,67,76,90,107,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,40,44,53,54,63,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,16,20,24,35,39,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,7,6,5,4,10,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,3,2,2,1,,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,11.4,11.4,11.3,11.2,11.1,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,8,8.4,8.8,8.9,8.9,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,7.3,7.3,7.3,7.8,8,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,5.4,5.8,6.2,6.3,6.3,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,6.2,6.4,6.5,6.3,6,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,11.6,10.3,9.4,8.4,7.4,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,13.7,13.2,12.8,12.4,12.1,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,11.5,11.7,11.7,11.7,11.8,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,7.3,7.7,8,8.3,9,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,5,5.2,5.5,5.9,6.1,
