Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,17349,17408,17495,17354,17010,16870
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,3041.1,3051.4,3066.7,3041.9,2981.6,2957.1
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,8566,8619,8692,8575,8304,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,8783,8789,8803,8779,8706,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,37.8,38,38.3,38.9,39.7,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,40.9,40.9,41,41.4,42,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,39.4,39.5,39.8,40.3,41,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,11336,11404,11454,11314,11013,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,65.3,65.5,65.5,65.2,64.7,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,478,435,414,409,449,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,711,685,661,595,551,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,675,708,739,743,687,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,622,633,631,647,637,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,581,618,651,640,590,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,499,500,485,457,406,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,448,434,435,431,409,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,492,500,501,479,455,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,578,561,566,547,526,
