Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,22374,22559,22699,22667,21899,21731
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2441.4,2461.6,2476.8,2473.3,2389.5,2371.2
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,11103,11207,11285,11261,10860,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,11271,11352,11414,11406,11039,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,39,39.1,39.3,39.8,39.7,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,43.1,43.4,43.5,43.9,43.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,41.3,41.4,41.5,41.9,41.7,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,14047,14126,14154,14069,13532,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,62.8,62.6,62.4,62.1,61.8,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,487,474,468,452,443,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,739,746,755,735,694,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,783,787,769,776,834,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,852,833,856,829,761,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,908,945,944,933,858,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,674,681,689,682,641,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,619,605,583,571,554,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,597,651,674,681,689,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,711,689,689,701,705,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,775,776,770,772,723,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,659,655,663,682,677,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,656,650,650,624,602,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,574,604,600,608,596,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,519,516,557,588,520,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,546,573,576,559,492,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,464,461,453,471,447,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,272,295,316,315,332,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,268,266,273,282,292,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,4.4,4.2,4.1,4,4.1,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.7,6.7,6.7,6.5,6.4,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,7.1,7,6.8,6.9,7.7,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,7.7,7.4,7.6,7.4,7,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,8.2,8.4,8.4,8.3,7.9,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,6.1,6.1,6.1,6.1,5.9,
