Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,20506,20896,21328,21731,21324,21478
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2671.5,2722.3,2778.6,2831.1,2778.1,2798.1
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,10157,10390,10656,10879,10625,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,10349,10506,10672,10852,10699,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,36,36.1,36.3,36.9,37.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,40,39.8,39.7,40.1,41.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,38.2,38,38,38.5,39.5,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,13727,13935,14182,14380,14050,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,66.9,66.7,66.5,66.2,65.9,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,494,484,492,494,425,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,616,644,651,661,635,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,643,671,713,727,772,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,832,802,775,736,706,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,950,989,1013,1002,909,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,763,767,784,828,807,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,642,682,716,721,716,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,631,692,750,802,701,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,664,683,723,783,748,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,648,648,656,667,673,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,692,665,628,603,621,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,564,583,622,663,656,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,481,503,510,513,537,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,389,411,430,459,460,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,322,340,345,343,370,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,346,319,302,310,307,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,268,276,293,292,281,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,212,231,253,275,301,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,4.9,4.7,4.6,4.5,4,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.1,6.2,6.1,6.1,6,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,6.3,6.5,6.7,6.7,7.3,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,8.2,7.7,7.3,6.8,6.6,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,9.4,9.5,9.5,9.2,8.6,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,7.5,7.4,7.4,7.6,7.6,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,6.3,6.6,6.7,6.6,6.7,
