Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,15075,15403,15543,15551,14989,14848
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,2413,2465.5,2488,2489.2,2399.3,2376.7
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,7515,7617,7666,7667,7483,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,7560,7786,7877,7884,7506,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,32.6,32.7,32.7,33,33.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,35.5,35.4,35.3,35.3,35.5,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,33.9,34,34,34.2,34.6,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,10014,10342,10509,10545,10089,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,66.4,67.1,67.6,67.8,67.3,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,582,564,572,577,565,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,485,484,475,465,449,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,387,407,408,410,405,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,426,425,414,393,368,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,598,626,643,636,591,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,846,854,864,853,799,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,816,814,814,803,775,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,616,650,681,708,730,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,464,451,448,453,466,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,406,429,432,418,409,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,401,384,369,385,381,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,334,367,381,359,352,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,234,255,274,316,310,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,219,205,191,190,202,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,201,201,212,214,193,
