Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,8636,8856,9068,9233,8976,8996
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,3307.7,3391.9,3473.1,3536.3,3437.9,3445.6
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,4399,4502,4614,4689,4558,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,4237,4354,4454,4544,4418,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,33.2,32.9,32.7,32.7,32.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,34.7,34.3,34,34,34.3,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,33.9,33.5,33.3,33.3,33.5,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,5942,6161,6377,6503,6329,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,68.8,69.6,70.3,70.4,70.5,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,302,300,301,314,327,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,234,240,241,236,233,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,159,170,185,207,205,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,186,184,178,165,151,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,425,454,475,478,439,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,529,559,596,616,589,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,555,579,600,616,601,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,398,415,427,440,435,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,258,268,282,292,294,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,213,220,230,230,226,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,209,201,202,206,200,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,186,189,195,196,205,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,160,159,158,160,151,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,122,123,115,120,117,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,126,114,102,93,86,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,106,108,110,105,93,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,103,95,95,97,89,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,128,124,122,118,117,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,6.9,6.7,6.5,6.7,7.2,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,5.3,5.3,5.2,5,5.1,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,3.6,3.8,4,4.4,4.5,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,4.2,4.1,3.9,3.5,3.3,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,9.7,10.1,10.3,10.2,9.6,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,12,12.4,12.9,13.1,12.9,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,12.6,12.9,13,13.1,13.2,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,9,9.2,9.3,9.4,9.5,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,5.9,6,6.1,6.2,6.5,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,4.8,4.9,5,4.9,5,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,4.8,4.5,4.4,4.4,4.4,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,4.2,4.2,4.2,4.2,4.5,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,3.6,3.5,3.4,3.4,3.3,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,2.8,2.7,2.5,2.6,2.6,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,2.9,2.5,2.2,2,1.9,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,2.4,2.4,2.4,2.2,2,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,2.3,2.1,2.1,2.1,2,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,2.9,2.8,2.6,2.5,2.6,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,322,327,335,339,317,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,210,221,230,236,234,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,150,152,153,158,152,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,176,180,178,174,159,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,309,336,356,362,345,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,515,533,553,560,530,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,462,495,517,540,543,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,354,362,367,372,364,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,245,272,289,307,302,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,219,209,217,225,237,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,205,206,203,207,203,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,188,188,199,198,190,
