Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,3091,3118,3136,3152,3141,3132
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2030.2,2047.9,2059.8,2070.3,2063.1,2057.1
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,1491,1513,1527,1537,1528,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,1600,1605,1609,1615,1613,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,35.9,35.9,35.7,36,36.7,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,38.1,38.6,39,40.4,41.9,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,37,37.3,37.3,38,39.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,1971,1986,2009,2034,2029,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,63.8,63.7,64.1,64.5,64.6,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,120,111,110,108,94,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,113,118,115,114,111,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,114,121,118,113,115,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,97,99,99,106,113,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,83,92,110,113,106,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,93,91,94,89,86,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,104,103,102,106,107,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,127,120,113,106,98,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,137,135,133,138,123,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,117,120,113,107,115,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,86,86,91,94,107,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,73,82,83,88,84,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,49,53,62,65,66,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,39,39,38,44,52,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,46,53,44,40,44,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,46,36,43,42,40,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,24,26,27,31,33,
