Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,21403,21444,21455,21346,20997,20834
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2119.7,2123.7,2124.8,2114,2079.4,2063.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,10430,10455,10462,10406,10230,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,10973,10989,10993,10940,10767,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,38.5,38.8,39.2,39.9,40.5,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,41.3,41.6,42,42.6,43,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,39.9,40.3,40.6,41.3,41.7,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,13857,13708,13565,13343,12959,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,64.7,63.9,63.2,62.5,61.7,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,698,682,653,634,622,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,715,730,723,712,684,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,618,651,671,671,680,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,674,623,600,590,598,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,645,655,653,625,566,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,645,621,599,538,492,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,683,668,681,667,612,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,748,770,770,776,770,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,724,710,689,715,760,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,715,728,743,729,711,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,675,659,639,657,662,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,631,635,646,636,610,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,636,627,619,604,585,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,561,557,562,583,567,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,451,492,528,524,533,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,288,311,331,372,379,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,158,175,184,203,217,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,165,161,171,170,182,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6.7,6.5,6.2,6.1,6.1,
