Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,6017,6104,6265,6383,6295,6367
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1972.7,2001.2,2054,2092.6,2063.8,2087.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,2966,3011,3087,3137,3093,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,3051,3093,3178,3246,3202,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,35.3,34.7,34.4,34.7,35.1,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,39.9,38.9,37.8,37.8,37.4,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,37.4,36.5,36,36,36.1,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,3754,3845,3968,4070,4002,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,62.4,63,63.3,63.8,63.6,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,227,225,228,235,230,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,206,206,210,205,204,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,157,158,163,177,173,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,175,186,177,163,168,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,210,219,244,237,200,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,269,279,289,295,292,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,226,247,263,272,276,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,210,232,256,286,294,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,190,187,181,193,174,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,176,178,181,179,192,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,175,156,150,144,153,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,130,135,146,161,160,
