Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,13868,14022,14053,13964,13523,13404
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,2706.8,2736.9,2742.9,2725.5,2639.5,2616.2
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,7055,7103,7117,7086,6962,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,6813,6919,6936,6878,6561,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,32.8,32.9,32.8,33.2,33.6,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,33.8,34.3,34.6,34.9,34.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,33.4,33.6,33.7,34.1,34.1,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,9492,9610,9610,9547,9188,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,68.4,68.5,68.4,68.4,67.9,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,545,530,513,500,490,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,504,515,527,513,504,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,489,490,485,496,494,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,481,485,489,465,445,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,637,636,639,599,559,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,534,554,577,614,595,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,592,588,595,574,552,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,529,555,541,548,545,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,478,482,481,481,472,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,458,448,433,435,435,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,420,388,382,367,362,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,414,438,428,426,412,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,321,327,347,367,366,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,233,233,254,256,282,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,197,201,189,204,201,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,110,114,119,130,147,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,63,72,72,65,58,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,50,47,46,46,43,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,7.7,7.5,7.2,7.1,7,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,7.1,7.3,7.4,7.2,7.2,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,6.9,6.9,6.8,7,7.1,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,6.8,6.8,6.9,6.6,6.4,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,9,9,9,8.5,8,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,7.6,7.8,8.1,8.7,8.5,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,8.4,8.3,8.4,8.1,7.9,
