Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,13378,13504,13617,13353,12151,12258
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,4159.4,4198.6,4233.7,4151.7,3777.9,3811.2
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,6581,6660,6721,6572,5911,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,6797,6844,6896,6781,6240,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,30.9,31.2,31.4,31.9,32.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,32.6,32.9,33.5,34.4,35.5,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,31.7,32,32.4,33.1,34,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,10182,10255,10310,10048,9071,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,76.1,75.9,75.7,75.2,74.7,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,294,289,283,274,236,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,294,298,301,286,229,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,310,321,326,317,296,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,422,431,444,438,396,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,832,828,811,749,621,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,975,958,943,892,766,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,818,801,785,754,674,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,481,485,491,487,455,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,384,372,367,370,355,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,311,354,384,381,329,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,294,317,305,321,310,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,277,292,328,319,272,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,235,233,245,251,251,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,200,201,199,205,196,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,170,171,181,189,184,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,128,143,147,146,149,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,85,93,101,110,106,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,71,73,80,83,86,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,4.5,4.3,4.2,4.2,4,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,4.5,4.5,4.5,4.4,3.9,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,4.7,4.8,4.9,4.8,5,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,6.4,6.5,6.6,6.7,6.7,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,12.6,12.4,12.1,11.4,10.5,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,14.8,14.4,14,13.6,13,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,12.4,12,11.7,11.5,11.4,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,7.3,7.3,7.3,7.4,7.7,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,5.8,5.6,5.5,5.6,6,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,4.7,5.3,5.7,5.8,5.6,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,4.5,4.8,4.5,4.9,5.2,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,4.2,4.4,4.9,4.9,4.6,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,3.6,3.5,3.6,3.8,4.2,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,3,3,3,3.1,3.3,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,2.6,2.6,2.7,2.9,3.1,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,1.9,2.1,2.2,2.2,2.5,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,1.3,1.4,1.5,1.7,1.8,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,1.1,1.1,1.2,1.3,1.5,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,295,286,273,241,192,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,231,229,239,236,212,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,255,267,259,256,240,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,327,324,325,314,283,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,831,818,797,739,630,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,991,977,962,921,824,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,817,798,782,753,690,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,512,515,521,522,512,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,381,411,426,450,428,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,396,401,413,386,337,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,347,348,363,375,360,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,302,336,363,361,321,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,249,256,255,265,257,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,261,245,249,246,236,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,212,244,254,278,258,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,125,125,152,168,191,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,103,111,110,115,111,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,162,153,153,155,158,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,4.3,4.2,4,3.6,3.1,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,3.4,3.3,3.5,3.5,3.4,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,3.8,3.9,3.8,3.8,3.8,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,4.8,4.7,4.7,4.6,4.5,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,12.2,12,11.6,10.9,10.1,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,14.6,14.3,14,13.6,13.2,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,12,11.7,11.3,11.1,11.1,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,7.5,7.5,7.6,7.7,8.2,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,5.6,6,6.2,6.6,6.9,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,5.8,5.9,6,5.7,5.4,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,5.1,5.1,5.3,5.5,5.8,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,4.4,4.9,5.3,5.3,5.1,
